cell_id,x,y,z,phi0
0,0.681845,0.956178,0.905566,0.00439747
1,0.687172,0.924216,0.202408,0.00637222
2,0.0146465,0.777467,0.965721,0.00310001
3,0.343583,0.644551,0.897576,0.00950748
4,0.0146465,0.965366,0.122502,0.0025096
5,0.349918,0.744312,0.987105,0.00610648
6,0.96151,0.5753,0.892249,0.00489473
7,0.444795,0.165125,0.876268,0.0265085
8,0.16513,0.412828,0.958836,0.00689966
9,0.463234,0.929638,0.223339,0.00833628
10,0.0346199,0.655205,0.375534,0.00844249
11,0.932212,0.354232,0.948182,0.00516293
12,0.487411,0.905571,0.0292824,0.00528233
13,0.0346199,0.0958746,0.78571,0.0062675
14,0.679181,0.0372781,0.764402,0.0157101
15,0.209048,0.152144,0.906086,0.00911544
16,0.482084,0.0958746,0.0292824,0.0133946
17,0.783221,0.469615,0.667944,0.0187568
18,0.991709,0.851191,0.0828192,0.00304147
19,0.975127,0.315579,0.933111,0.00492682
20,0.898619,0.282733,0.247253,0.0112541
21,0.932212,0.284981,0.117177,0.00643735
22,0.0897879,0.38277,0.472907,0.0173508
23,0.290314,0.458107,0.929538,0.0106476
24,0.258352,0.724455,0.97748,0.00543232
25,0.991709,0.414565,0.427054,0.0105996
26,0.00732323,0.782323,0.958032,0.0030733
27,0.074572,0.231712,0.0639076,0.00577427
28,0.915268,0.0133121,0.106064,0.00231511
29,0.991709,0.929585,0.219373,0.00355092
30,0.956183,0.852302,0.551324,0.0056546
31,0.0272967,0.775833,0.962667,0.00317785
32,0.0219697,0.226433,0.394233,0.0146458
33,0.0146465,0.780689,0.944325,0.00328372
34,0.950856,0.511377,0.380861,0.0106354
35,0.130505,0.569973,0.0505902,0.00528336
36,0.397292,0.12881,0.285695,0.0671848
37,0.882701,0.991042,0.323263,0.00463048
38,0.0532642,0.173115,0.436794,0.0174294
39,0.0136911,0.72695,0.0122911,0.00282104
40,0.300968,0.639224,0.109187,0.00855343
41,0.684508,0.846975,0.0346094,0.00504241
42,0.0399468,0.426146,0.551324,0.0129297
43,0.940202,0.522031,0.892249,0.0054917
44,0.311471,0.88423,0.11153,0.00554011
45,0.221531,0.879415,0.419957,0.00863263
46,0.0146465,0.228939,0.949613,0.00422599
47,0.991709,0.347642,0.809704,0.0065306
48,0.924221,0.490069,0.423477,0.0137715
49,0.37851,0.143618,0.0179666,0.0107894
50,0.700475,0.154441,0.0119777,0.00858482
51,0.758862,0.107412,0.676271,0.0249886
52,0.829609,0.754556,0.991404,0.0039581
53,0.644556,0.663195,0.91622,0.00851892
54,0.937538,0.897581,0.308947,0.00490179
55,0.00732323,0.0618832,0.8698,0.00286954
56,0.0146465,0.443937,0.548734,0.0116796
57,0.843774,0.93914,0.352979,0.00577427
58,0.769739,0.612589,0.902903,0.00712935
59,0.972464,0.246119,0.319918,0.0105295
60,0.0219697,0.231854,0.925918,0.00488779
61,0.0402418,0.463959,0.253743,0.0075687
62,0.375545,0.777725,0.97748,0.00627626
63,0.0426103,0.226385,0.932201,0.0047328
64,0.0346199,0.229048,0.924211,0.00518778
65,0.189102,0.937533,0.327592,0.00614483
66,0.857934,0.0133121,0.947891,0.00250326
67,0.101207,0.0772303,0.96949,0.00313627
68,0.989046,0.368842,0.0903471,0.00478421
69,0.46344,0.950851,0.223716,0.00786628
70,0.991709,0.748142,0.383312,0.00595515
71,0.96151,0.053259,0.157129,0.00385332
72,0.00732323,0.226418,0.940667,0.00409385
73,0.0146465,0.223094,0.93252,0.00414965
74,0.968813,0.991042,0.913526,0.00255089
75,0.514046,0.926879,0.0985328,0.00629796
76,0.546821,0.97942,0.224497,0.00763877
77,0.563246,0.525372,0.118282,0.01525
78,0.0146465,0.95245,0.122621,0.00257232
79,0.972464,0.434521,0.66017,0.0103719
80,0.0219697,0.95742,0.116629,0.00256186
81,0.755177,0.00665605,0.459767,0.0222674
82,0.236224,0.852221,0.774837,0.00761808
83,0.991709,0.062925,0.175632,0.0039527
84,0.143822,0.945524,0.692488,0.0056958
85,0.561584,0.0199681,0.711152,0.0459697
86,0.919457,0.716636,0.987105,0.00382412
87,0.83899,0.4368,0.657863,0.0157247
88,0.423487,0.932206,0.29563,0.00881178
89,0.903573,0.716182,0.0119777,0.00364869
90,0.991709,0.626851,0.935648,0.00373464
91,0.202084,0.125923,0.315725,0.0219008
92,0.0399468,0.276991,0.689825,0.0112589
93,0.396853,0.852302,0.97748,0.00576733
94,0.00732323,0.960396,0.128495,0.00249863
95,0.937538,0.119846,0.585949,0.0144077
96,0.308958,0.695157,0.948182,0.00731378
97,0.00732323,0.961529,0.137427,0.00254244
98,0.0346199,0.4368,0.572632,0.0118835
99,0.468767,0.668522,0.788373,0.0147052
100,0.0146465,0.966499,0.142088,0.00254175
101,0.846656,0.00665605,0.0883621,0.00261354
102,0.0146465,0.95891,0.142207,0.002575
103,0.0399468,0.910898,0.306284,0.00462427
104,0.0399468,0.905571,0.311611,0.00468394
105,0.189102,0.117182,0.934865,0.00683715
106,0.0146465,0.261937,0.943385,0.00478645
107,0.975127,0.209412,0.849128,0.00590426
108,0.958846,0.364886,0.857624,0.0064998
109,0.0219697,0.0593386,0.609189,0.0081681
110,0.0407284,0.910141,0.338768,0.00484861
111,0.0136564,0.9343,0.0124463,0.00216964
112,0.0219697,0.909733,0.0986684,0.00260852
113,0.473988,0.982084,0.832267,0.00570624
114,0.0219697,0.9619,0.365572,0.0041859
115,0.508418,0.918998,0.300434,0.0101229
116,0.458113,0.32227,0.0319459,0.0136513
117,0.257691,0.492245,0.860279,0.011628
118,0.0219697,0.46486,0.781153,0.00731585
119,0.117188,0.0505955,0.905566,0.00387909
120,0.419501,0.970462,0.439888,0.0116859
121,0.0407284,0.904814,0.333441,0.00491274
122,0.0460553,0.910141,0.333441,0.00497068
123,0.343583,0.745763,0.902903,0.00738568
124,0.0420159,0.483679,0.897274,0.00543666
