cell_id,x,y,z,phi0
0,0.681845,0.956178,0.905566,0.00192446
1,0.687172,0.924216,0.202408,0.00208747
2,0.0146465,0.777467,0.965721,0.0205097
3,0.343583,0.644551,0.897576,0.0101734
4,0.0146465,0.965366,0.122502,0.0188679
5,0.349918,0.744312,0.987105,0.00253153
6,0.96151,0.5753,0.892249,0.00853386
7,0.444795,0.165125,0.876268,0.0266431
8,0.16513,0.412828,0.958836,0.00717962
9,0.463234,0.929638,0.223339,0.00090395
10,0.0346199,0.655205,0.375534,0.0028291
11,0.932212,0.354232,0.948182,0.00504194
12,0.487411,0.905571,0.0292824,0.00107124
13,0.0346199,0.0958746,0.78571,0.00636688
14,0.679181,0.0372781,0.764402,0.0114162
15,0.209048,0.152144,0.906086,0.0241886
16,0.482084,0.0958746,0.0292824,0.00277558
17,0.783221,0.469615,0.667944,0.0488506
18,0.991709,0.851191,0.0828192,0.0273628
19,0.975127,0.315579,0.933111,0.00696964
20,0.898619,0.282733,0.247253,0.0300952
21,0.932212,0.284981,0.117177,0.0115057
22,0.0897879,0.38277,0.472907,0.00366215
23,0.290314,0.458107,0.929538,0.00967014
24,0.258352,0.724455,0.97748,0.00926469
25,0.991709,0.414565,0.427054,0.00263835
26,0.00732323,0.782323,0.958032,0.021194
27,0.074572,0.231712,0.0639076,0.00845079
28,0.915268,0.0133121,0.106064,0.0016045
29,0.991709,0.929585,0.219373,0.00737037
30,0.956183,0.852302,0.551324,0.00125487
31,0.0272967,0.775833,0.962667,0.0217268
32,0.0219697,0.226433,0.394233,0.0261795
33,0.0146465,0.780689,0.944325,0.0242113
34,0.950856,0.511377,0.380861,0.00327262
35,0.130505,0.569973,0.0505902,0.0107132
36,0.397292,0.12881,0.285695,0.11027
37,0.882701,0.991042,0.323263,0.00104293
38,0.0532642,0.173115,0.436794,0.0194094
39,0.0136911,0.72695,0.0122911,0.010497
40,0.300968,0.639224,0.109187,0.0171735
41,0.684508,0.846975,0.0346094,0.00286669
42,0.0399468,0.426146,0.551324,0.00281203
43,0.940202,0.522031,0.892249,0.006494
44,0.311471,0.88423,0.11153,0.00284453
45,0.221531,0.879415,0.419957,0.00110389
46,0.0146465,0.228939,0.949613,0.00280729
47,0.991709,0.347642,0.809704,0.0204554
48,0.924221,0.490069,0.423477,0.00341968
49,0.37851,0.143618,0.0179666,0.0139993
50,0.700475,0.154441,0.0119777,0.0157289
51,0.758862,0.107412,0.676271,0.063165
52,0.829609,0.754556,0.991404,0.0179549
53,0.644556,0.663195,0.91622,0.00570582
54,0.937538,0.897581,0.308947,0.00243389
55,0.00732323,0.0618832,0.8698,0.001328
56,0.0146465,0.443937,0.548734,0.00250426
57,0.843774,0.93914,0.352979,0.00106063
58,0.769739,0.612589,0.902903,0.0270373
59,0.972464,0.246119,0.319918,0.0380027
60,0.0219697,0.231854,0.925918,0.0060202
61,0.0402418,0.463959,0.253743,0.00485063
62,0.375545,0.777725,0.97748,0.00209639
63,0.0426103,0.226385,0.932201,0.0038947
64,0.0346199,0.229048,0.924211,0.0059945
65,0.189102,0.937533,0.327592,0.00120512
66,0.857934,0.0133121,0.947891,0.00161939
67,0.101207,0.0772303,0.96949,0.00142622
68,0.989046,0.368842,0.0903471,0.00856913
69,0.46344,0.950851,0.223716,0.000837182
70,0.991709,0.748142,0.383312,0.00176584
71,0.96151,0.053259,0.157129,0.00168971
72,0.00732323,0.226418,0.940667,0.00316625
73,0.0146465,0.223094,0.93252,0.0032615
74,0.968813,0.991042,0.913526,0.0196154
75,0.514046,0.926879,0.0985328,0.000930823
76,0.546821,0.97942,0.224497,0.000751948
77,0.563246,0.525372,0.118282,0.00434157
78,0.0146465,0.95245,0.122621,0.0200124
79,0.972464,0.434521,0.66017,0.0039065
80,0.0219697,0.95742,0.116629,0.0198853
