cell_id,x,y,z,phi0
0,0.0719086,0.644551,0.258341,0.00691692
1,0.434141,0.0692398,0.801691,0.0280279
2,0.183775,0.127836,0.870941,0.00766222
3,0.218428,0.975643,0.973629,0.00311331
4,0.0932164,0.122509,0.343573,0.0120583
5,0.945529,0.218395,0.588613,0.0215323
6,0.764413,0.878937,0.897576,0.00517612
7,0.0306273,0.75609,0.162398,0.00390484
8,0.133099,0.0439394,0.382566,0.0127943
9,0.364891,0.639224,0.338246,0.017341
10,0.604314,0.62249,0.0856207,0.0120198
11,0.135832,0.932206,0.343573,0.00560087
12,0.759086,0.106529,0.29563,0.0247501
13,0.343583,0.213068,0.316938,0.0479526
14,0.114524,0.239702,0.460766,0.0197799
15,0.336601,0.807654,0.963134,0.0057949
16,0.780866,0.0146465,0.440747,0.0220433
17,0.0719086,0.431473,0.0665711,0.0060049
18,0.637163,0.762956,0.963134,0.00652377
19,0.380872,0.836321,0.844306,0.00733248
20,0.530027,0.601935,0.833652,0.0128954
21,0.376327,0.303611,0.578236,0.099126
22,0.119851,0.181106,0.934865,0.00571638
23,0.0306273,0.510124,0.0607177,0.00517804
24,0.458106,0.496282,0.351535,0.0367536
25,0.749895,0.515929,0.762588,0.0151595
26,0.731741,0.0808223,0.788371,0.0129135
27,0.967137,0.803825,0.38415,0.00644079
28,0.673854,0.404838,0.636555,0.0384482
29,0.71647,0.0958746,0.455439,0.0808668
30,0.192149,0.316764,0.506173,0.0385803
31,0.261272,0.241405,0.963134,0.0087304
32,0.0719086,0.0692398,0.748421,0.0062953
33,0.978091,0.868074,0.717956,0.00523216
34,0.0985433,0.4368,0.466093,0.0185994
35,0.276872,0.162285,0.975423,0.00789448
36,0.0306273,0.719857,0.728792,0.00497136
37,0.860298,0.335588,0.0878789,0.00797469
38,0.956483,0.114003,0.327334,0.00955401
39,0.125178,0.665859,0.311611,0.00818326
40,0.0818351,0.965136,0.880663,0.00259904
41,0.849644,0.878937,0.130495,0.00508388
42,0.203832,0.221845,0.497707,0.0413378
43,0.776085,0.574423,0.845408,0.0116885
44,0.860298,0.45278,0.897576,0.00694824
45,0.975023,0.51301,0.0247071,0.00408331
46,0.967137,0.671175,0.239415,0.00561337
47,0.452506,0.519759,0.33186,0.0336523
48,0.531788,0.407412,0.687147,0.0568527
49,0.38478,0.029293,0.266851,0.0311541
50,0.509509,0.0439394,0.844439,0.0206052
51,0.978091,0.372925,0.77557,0.00880155
52,0.41597,0.490421,0.278559,0.0284336
53,0.821666,0.265739,0.409449,0.0343396
54,0.44007,0.465415,0.280086,0.0307873
55,0.0656969,0.0146465,0.87781,0.00312978
56,0.290316,0.781233,0.156461,0.00772096
57,0.632948,0.0439394,0.669173,0.0506745
58,0.0932164,0.601935,0.503381,0.0122252
59,0.423487,0.101202,0.141148,0.0193004
60,0.90824,0.745763,0.082552,0.0046778
61,0.167937,0.120049,0.963134,0.00399524
62,0.801701,0.916225,0.498054,0.0100528
63,0.90824,0.468761,0.860287,0.00839576
64,0.522025,0.897237,0.228706,0.00925694
65,0.666767,0.720392,0.536246,0.0176127
66,0.913223,0.917177,0.987711,0.00362752
67,0.519373,0.111855,0.545997,0.53274
68,0.966061,0.877024,0.987711,0.0035379
69,0.0825625,0.324934,0.844306,0.00857327
70,0.0825625,0.250356,0.85496,0.00673143
71,0.284987,0.857629,0.205072,0.00640529
72,0.210409,0.431473,0.90823,0.0104345
73,0.547726,0.823684,0.975423,0.00611519
74,0.210476,0.976757,0.693164,0.00631551
75,0.0153137,0.791351,0.30574,0.00540994
76,0.0260042,0.0508084,0.976946,0.00194437
77,0.442837,0.976757,0.943178,0.00487055
78,0.747027,0.119586,0.0279586,0.00589612
79,0.250619,0.3308,0.0419379,0.00955407
80,0.914386,0.778773,0.0139793,0.0038623
81,0.0306273,0.831951,0.462934,0.00595524
82,0.045941,0.6032,0.550204,0.0099988
83,0.807028,0.0798937,0.17311,0.0081556
84,0.130505,0.266337,0.370207,0.021001
85,0.612761,0.17804,0.64303,0.107893
86,0.355936,0.0146465,0.7032,0.0203505
87,0.673854,0.553993,0.359554,0.0245893
88,0.431669,0.416584,0.304737,0.0352528
89,0.967137,0.298585,0.38415,0.0130961
90,0.250618,0.120049,0.0419379,0.00637339
91,0.41597,0.511729,0.257251,0.0242896
92,0.316948,0.442127,0.0878789,0.0129857
93,0.0825625,0.239702,0.322265,0.0135915
94,0.146486,0.601935,0.929538,0.00656311
95,0.0847302,0.612417,0.0279586,0.00490367
96,0.210409,0.0798937,0.60992,0.0249644
97,0.167794,0.94286,0.215726,0.00442649
98,0.466103,0.836321,0.109187,0.00698978
99,0.0719086,0.846975,0.514035,0.00697884
100,0.130505,0.479415,0.10386,0.00846018
101,0.0126378,0.0891993,0.987867,0.00238256
102,0.849644,0.708474,0.812345,0.00752242
103,0.360338,0.898989,0.892143,0.00607677
104,0.363606,0.719472,0.975423,0.00708164
105,0.0153137,0.616383,0.269619,0.00644286
106,0.295641,0.921552,0.322265,0.00843071
107,0.752126,0.0665642,0.0525918,0.0052227
108,0.918894,0.245029,0.434131,0.0185181
109,0.978091,0.275538,0.671358,0.0113629
110,0.593204,0.029293,0.736531,0.0332672
111,0.0875519,0.726194,0.572931,0.00954423
112,0.523036,0.976757,0.545057,0.0121777
113,0.865625,0.362222,0.647209,0.0183154
114,0.300968,0.692493,0.338246,0.0136111
115,0.598446,0.313277,0.0279586,0.013835
116,0.0306273,0.893856,0.774537,0.00341825
117,0.0306273,0.938773,0.333157,0.00442758
118,0.0306273,0.701851,0.241785,0.00521046
119,0.0633864,0.976757,0.50879,0.00528795
120,0.75324,0.685715,0.618527,0.0142988
121,0.10387,0.846975,0.482074,0.00724241
122,0.574769,0.988379,0.385975,0.0100821
123,0.967137,0.355907,0.405458,0.0142461
124,0.945829,0.124657,0.295372,0.00926218
125,0.119851,0.777725,0.711132,0.00524664
126,0.045941,0.219965,0.294754,0.0113344
