cell_id,x,y,z,phi0
0,0.0719086,0.644551,0.258341,0.0206591
1,0.434141,0.0692398,0.801691,0.0292846
2,0.183775,0.127836,0.870941,0.0131466
3,0.218428,0.975643,0.973629,0.00600936
4,0.0932164,0.122509,0.343573,0.0233315
5,0.945529,0.218395,0.588613,0.0246563
6,0.764413,0.878937,0.897576,0.0108417
7,0.0306273,0.75609,0.162398,0.0178308
8,0.133099,0.0439394,0.382566,0.0100065
9,0.364891,0.639224,0.338246,0.00702996
10,0.604314,0.62249,0.0856207,0.00712542
11,0.135832,0.932206,0.343573,0.00226074
12,0.759086,0.106529,0.29563,0.0539112
13,0.343583,0.213068,0.316938,0.0924305
14,0.114524,0.239702,0.460766,0.0122962
15,0.336601,0.807654,0.963134,0.00441346
16,0.780866,0.0146465,0.440747,0.0143785
17,0.0719086,0.431473,0.0665711,0.00676454
18,0.637163,0.762956,0.963134,0.00291592
19,0.380872,0.836321,0.844306,0.00271185
20,0.530027,0.601935,0.833652,0.00492156
21,0.376327,0.303611,0.578236,0.101609
22,0.119851,0.181106,0.934865,0.00917526
23,0.0306273,0.510124,0.0607177,0.00595891
24,0.458106,0.496282,0.351535,0.0119787
25,0.749895,0.515929,0.762588,0.042024
26,0.731741,0.0808223,0.788371,0.0216531
27,0.967137,0.803825,0.38415,0.00252364
28,0.673854,0.404838,0.636555,0.0562326
29,0.71647,0.0958746,0.455439,0.104621
30,0.192149,0.316764,0.506173,0.0176811
31,0.261272,0.241405,0.963134,0.0276766
32,0.0719086,0.0692398,0.748421,0.00704908
33,0.978091,0.868074,0.717956,0.00629812
34,0.0985433,0.4368,0.466093,0.00482839
35,0.276872,0.162285,0.975423,0.0228432
36,0.0306273,0.719857,0.728792,0.00965188
37,0.860298,0.335588,0.0878789,0.0127082
38,0.956483,0.114003,0.327334,0.0136916
39,0.125178,0.665859,0.311611,0.010611
40,0.0818351,0.965136,0.880663,0.0136903
41,0.849644,0.878937,0.130495,0.0174661
42,0.203832,0.221845,0.497707,0.0209459
43,0.776085,0.574423,0.845408,0.0343987
44,0.860298,0.45278,0.897576,0.00975943
45,0.975023,0.51301,0.0247071,0.00456515
46,0.967137,0.671175,0.239415,0.0153126
47,0.452506,0.519759,0.33186,0.0107171
48,0.531788,0.407412,0.687147,0.0326344
49,0.38478,0.029293,0.266851,0.0348778
50,0.509509,0.0439394,0.844439,0.00878263
51,0.978091,0.372925,0.77557,0.0136684
