scattering,M,S,iterationN,e_RSI_N
isotropic,288,8,14,0.594486
isotropic,288,16,14,0.620508
isotropic,288,32,14,0.385948
isotropic,288,64,14,0.250029
isotropic,288,128,14,0.189118
isotropic,288,256,14,0.116703
isotropic,288,512,14,0.0797856
isotropic,288,1024,14,0.0629486
isotropic,288,2048,14,0.0473865
isotropic,288,4096,14,0.0347044
isotropic,288,8192,14,0.0202421
isotropic,16640,8,14,0.78919
isotropic,16640,16,14,0.701493
isotropic,16640,32,14,0.401369
isotropic,16640,64,14,0.293061
isotropic,16640,128,14,0.129095
isotropic,16640,256,14,0.126556
isotropic,16640,512,14,0.103238
isotropic,16640,1024,14,0.0803083
isotropic,16640,2048,14,0.0681711
isotropic,16640,4096,14,0.0396641
isotropic,16640,8192,14,0.0239435
anisotropic,288,8,14,0.962806
anisotropic,288,16,14,0.821706
anisotropic,288,32,14,0.325045
anisotropic,288,64,14,0.205942
anisotropic,288,128,14,0.139895
anisotropic,288,256,14,0.139904
anisotropic,288,512,14,0.0812014
anisotropic,288,1024,14,0.0576201
anisotropic,288,2048,14,0.0480511
anisotropic,288,4096,14,0.0413241
anisotropic,288,8192,14,0.0441278
anisotropic,16640,8,14,0.724463
anisotropic,16640,16,14,0.801098
anisotropic,16640,32,14,0.44544
anisotropic,16640,64,14,0.264705
anisotropic,16640,128,14,0.154209
anisotropic,16640,256,14,0.136005
anisotropic,16640,512,14,0.0807436
anisotropic,16640,1024,14,0.0941555
anisotropic,16640,2048,14,0.0681226
anisotropic,16640,4096,14,0.056839
anisotropic,16640,8192,14,0.0328144
