cell_id,x,y,z,phi0
0,0.0719086,0.644551,0.258341,0.00696372
1,0.434141,0.0692398,0.801691,0.0333011
2,0.183775,0.127836,0.870941,0.00866556
3,0.218428,0.975643,0.973629,0.00346752
4,0.0932164,0.122509,0.343573,0.0133802
5,0.945529,0.218395,0.588613,0.022747
6,0.764413,0.878937,0.897576,0.00549128
7,0.0306273,0.75609,0.162398,0.00391949
8,0.133099,0.0439394,0.382566,0.0133729
9,0.364891,0.639224,0.338246,0.016397
10,0.604314,0.62249,0.0856207,0.0100471
11,0.135832,0.932206,0.343573,0.00527064
12,0.759086,0.106529,0.29563,0.0275488
13,0.343583,0.213068,0.316938,0.0474976
14,0.114524,0.239702,0.460766,0.0207789
15,0.336601,0.807654,0.963134,0.00576761
16,0.780866,0.0146465,0.440747,0.0220274
17,0.0719086,0.431473,0.0665711,0.00599391
18,0.637163,0.762956,0.963134,0.00671952
19,0.380872,0.836321,0.844306,0.0063603
20,0.530027,0.601935,0.833652,0.0120785
21,0.376327,0.303611,0.578236,0.10621
22,0.119851,0.181106,0.934865,0.00637548
23,0.0306273,0.510124,0.0607177,0.00534935
24,0.458106,0.496282,0.351535,0.0322804
25,0.749895,0.515929,0.762588,0.0153865
26,0.731741,0.0808223,0.788371,0.0178591
27,0.967137,0.803825,0.38415,0.00560773
28,0.673854,0.404838,0.636555,0.0370709
29,0.71647,0.0958746,0.455439,0.084586
30,0.192149,0.316764,0.506173,0.0384075
31,0.261272,0.241405,0.963134,0.00972363
32,0.0719086,0.0692398,0.748421,0.00721059
33,0.978091,0.868074,0.717956,0.00517813
34,0.0985433,0.4368,0.466093,0.0173755
35,0.276872,0.162285,0.975423,0.00941434
36,0.0306273,0.719857,0.728792,0.0065416
37,0.860298,0.335588,0.0878789,0.00821377
38,0.956483,0.114003,0.327334,0.0101294
39,0.125178,0.665859,0.311611,0.00816603
40,0.0818351,0.965136,0.880663,0.00329797
41,0.849644,0.878937,0.130495,0.00508711
42,0.203832,0.221845,0.497707,0.0422961
43,0.776085,0.574423,0.845408,0.0120464
44,0.860298,0.45278,0.897576,0.00817444
45,0.975023,0.51301,0.0247071,0.00416723
46,0.967137,0.671175,0.239415,0.00610575
47,0.452506,0.519759,0.33186,0.0295409
48,0.531788,0.407412,0.687147,0.0545172
49,0.38478,0.029293,0.266851,0.0308906
50,0.509509,0.0439394,0.844439,0.022416
51,0.978091,0.372925,0.77557,0.0091791
52,0.41597,0.490421,0.278559,0.0249086
53,0.821666,0.265739,0.409449,0.0345063
54,0.44007,0.465415,0.280086,0.0269597
55,0.0656969,0.0146465,0.87781,0.00356782
56,0.290316,0.781233,0.156461,0.00722209
57,0.632948,0.0439394,0.669173,0.0660528
58,0.0932164,0.601935,0.503381,0.0110521
59,0.423487,0.101202,0.141148,0.0200918
60,0.90824,0.745763,0.082552,0.00458038
61,0.167937,0.120049,0.963134,0.00497099
62,0.801701,0.916225,0.498054,0.00814707
63,0.90824,0.468761,0.860287,0.00869361
64,0.522025,0.897237,0.228706,0.00826257
65,0.666767,0.720392,0.536246,0.0156512
66,0.913223,0.917177,0.987711,0.00352696
67,0.519373,0.111855,0.545997,0.5522
68,0.966061,0.877024,0.987711,0.00324455
69,0.0825625,0.324934,0.844306,0.00947745
70,0.0825625,0.250356,0.85496,0.00709997
71,0.284987,0.857629,0.205072,0.00635728
72,0.210409,0.431473,0.90823,0.0112116
