cell_id,x,y,z,phi0
0,0.0719086,0.644551,0.258341,0.023856
1,0.434141,0.0692398,0.801691,0.0300633
2,0.183775,0.127836,0.870941,0.0143298
3,0.218428,0.975643,0.973629,0.00588726
4,0.0932164,0.122509,0.343573,0.0259231
5,0.945529,0.218395,0.588613,0.0216865
6,0.764413,0.878937,0.897576,0.011606
7,0.0306273,0.75609,0.162398,0.0197989
8,0.133099,0.0439394,0.382566,0.0112408
9,0.364891,0.639224,0.338246,0.00699366
10,0.604314,0.62249,0.0856207,0.00732546
11,0.135832,0.932206,0.343573,0.00240639
12,0.759086,0.106529,0.29563,0.0496631
13,0.343583,0.213068,0.316938,0.0868149
14,0.114524,0.239702,0.460766,0.013214
15,0.336601,0.807654,0.963134,0.00439058
16,0.780866,0.0146465,0.440747,0.0146322
17,0.0719086,0.431473,0.0665711,0.00651675
18,0.637163,0.762956,0.963134,0.00323369
19,0.380872,0.836321,0.844306,0.00260148
20,0.530027,0.601935,0.833652,0.00534236
21,0.376327,0.303611,0.578236,0.09942
22,0.119851,0.181106,0.934865,0.0100165
23,0.0306273,0.510124,0.0607177,0.00577407
24,0.458106,0.496282,0.351535,0.0120049
25,0.749895,0.515929,0.762588,0.0433016
26,0.731741,0.0808223,0.788371,0.021395
27,0.967137,0.803825,0.38415,0.0025842
28,0.673854,0.404838,0.636555,0.0521213
29,0.71647,0.0958746,0.455439,0.104943
30,0.192149,0.316764,0.506173,0.0180978
31,0.261272,0.241405,0.963134,0.0285382
32,0.0719086,0.0692398,0.748421,0.00799282
33,0.978091,0.868074,0.717956,0.00557775
34,0.0985433,0.4368,0.466093,0.00503395
35,0.276872,0.162285,0.975423,0.0237482
36,0.0306273,0.719857,0.728792,0.00952055
37,0.860298,0.335588,0.0878789,0.012361
38,0.956483,0.114003,0.327334,0.0135511
39,0.125178,0.665859,0.311611,0.0120486
40,0.0818351,0.965136,0.880663,0.0135056
41,0.849644,0.878937,0.130495,0.0182498
42,0.203832,0.221845,0.497707,0.019219
43,0.776085,0.574423,0.845408,0.0366177
44,0.860298,0.45278,0.897576,0.0102292
45,0.975023,0.51301,0.0247071,0.00430861
46,0.967137,0.671175,0.239415,0.0153837
47,0.452506,0.519759,0.33186,0.0104865
48,0.531788,0.407412,0.687147,0.0354662
49,0.38478,0.029293,0.266851,0.0316886
50,0.509509,0.0439394,0.844439,0.00975755
51,0.978091,0.372925,0.77557,0.0138322
52,0.41597,0.490421,0.278559,0.0167911
53,0.821666,0.265739,0.409449,0.0283947
54,0.44007,0.465415,0.280086,0.0193728
55,0.0656969,0.0146465,0.87781,0.00193879
56,0.290316,0.781233,0.156461,0.0126042
57,0.632948,0.0439394,0.669173,0.094012
58,0.0932164,0.601935,0.503381,0.00292009
59,0.423487,0.101202,0.141148,0.0179549
60,0.90824,0.745763,0.082552,0.0204836
61,0.167937,0.120049,0.963134,0.00548672
62,0.801701,0.916225,0.498054,0.00120398
63,0.90824,0.468761,0.860287,0.0117839
64,0.522025,0.897237,0.228706,0.00130171
65,0.666767,0.720392,0.536246,0.00318136
66,0.913223,0.917177,0.987711,0.0182453
67,0.519373,0.111855,0.545997,0.500352
68,0.966061,0.877024,0.987711,0.0181184
69,0.0825625,0.324934,0.844306,0.0158343
70,0.0825625,0.250356,0.85496,0.0141445
71,0.284987,0.857629,0.205072,0.00408914
72,0.210409,0.431473,0.90823,0.0213817
73,0.547726,0.823684,0.975423,0.00142548
74,0.210476,0.976757,0.693164,0.00218629
75,0.0153137,0.791351,0.30574,0.0062428
76,0.0260042,0.0508084,0.976946,0.00116169
77,0.442837,0.976757,0.943178,0.000896267
78,0.747027,0.119586,0.0279586,0.00775249
79,0.250619,0.3308,0.0419379,0.0220945
80,0.914386,0.778773,0.0139793,0.0173593
