cell_id,x,y,z,phi0
0,0.0719086,0.644551,0.258341,0.00782139
1,0.434141,0.0692398,0.801691,0.0335763
2,0.183775,0.127836,0.870941,0.0094455
3,0.218428,0.975643,0.973629,0.00360408
4,0.0932164,0.122509,0.343573,0.0132244
5,0.945529,0.218395,0.588613,0.0206451
6,0.764413,0.878937,0.897576,0.00555962
7,0.0306273,0.75609,0.162398,0.0045177
8,0.133099,0.0439394,0.382566,0.0133001
9,0.364891,0.639224,0.338246,0.0178972
10,0.604314,0.62249,0.0856207,0.0111655
11,0.135832,0.932206,0.343573,0.00581561
12,0.759086,0.106529,0.29563,0.0263376
13,0.343583,0.213068,0.316938,0.0486308
14,0.114524,0.239702,0.460766,0.0206815
15,0.336601,0.807654,0.963134,0.00607133
16,0.780866,0.0146465,0.440747,0.0209869
17,0.0719086,0.431473,0.0665711,0.00640356
18,0.637163,0.762956,0.963134,0.00683174
19,0.380872,0.836321,0.844306,0.00718565
20,0.530027,0.601935,0.833652,0.0129001
21,0.376327,0.303611,0.578236,0.109246
22,0.119851,0.181106,0.934865,0.00699978
23,0.0306273,0.510124,0.0607177,0.0057497
24,0.458106,0.496282,0.351535,0.0347589
25,0.749895,0.515929,0.762588,0.0144936
26,0.731741,0.0808223,0.788371,0.0155694
27,0.967137,0.803825,0.38415,0.00608742
28,0.673854,0.404838,0.636555,0.035921
29,0.71647,0.0958746,0.455439,0.0784916
30,0.192149,0.316764,0.506173,0.0386488
31,0.261272,0.241405,0.963134,0.0101588
32,0.0719086,0.0692398,0.748421,0.0076318
33,0.978091,0.868074,0.717956,0.00481373
34,0.0985433,0.4368,0.466093,0.0177395
35,0.276872,0.162285,0.975423,0.00949288
36,0.0306273,0.719857,0.728792,0.00603118
37,0.860298,0.335588,0.0878789,0.00905282
38,0.956483,0.114003,0.327334,0.00946295
39,0.125178,0.665859,0.311611,0.00886834
40,0.0818351,0.965136,0.880663,0.00326986
41,0.849644,0.878937,0.130495,0.00495113
42,0.203832,0.221845,0.497707,0.0417235
43,0.776085,0.574423,0.845408,0.0113033
44,0.860298,0.45278,0.897576,0.00751672
45,0.975023,0.51301,0.0247071,0.00447778
46,0.967137,0.671175,0.239415,0.00607465
47,0.452506,0.519759,0.33186,0.0319155
48,0.531788,0.407412,0.687147,0.0561642
49,0.38478,0.029293,0.266851,0.0311015
