cell_id,x,y,z,phi0
0,0.0862185,0.0853109,0.501691,0.0155132
1,0.973065,0.791193,0.619736,0.00574621
2,0.973065,0.840942,0.513537,0.00393631
3,0.94613,0.75342,0.852998,0.0046127
4,0.973065,0.832451,0.617135,0.00506422
5,0.686144,0.091882,0.848965,0.012459
6,0.231717,0.868283,0.822998,0.0038519
7,0.979665,0.931553,0.979665,0.00220799
8,0.255787,0.0306273,0.538735,0.0262908
9,0.395218,0.734789,0.0299602,0.00634702
10,0.167794,0.143817,0.482074,0.0251363
11,0.689835,0.282318,0.812345,0.026277
12,0.62216,0.360849,0.645871,0.0526607
13,0.979665,0.0684473,0.979665,0.00341376
14,0.0790521,0.0537445,0.668855,0.0060835
15,0.0938836,0.48552,0.581511,0.0134148
16,0.754441,0.0537445,0.949127,0.00628281
17,0.189102,0.69782,0.822998,0.00636249
18,0.700489,0.846975,0.22638,0.0078039
19,0.979665,0.979665,0.931553,0.00191751
20,0.0546477,0.94705,0.18951,0.00399055
21,0.3923,0.0612547,0.628272,0.117223
22,0.210409,0.165125,0.60992,0.0445227
23,0.0938836,0.706533,0.307737,0.00883571
24,0.919195,0.401255,0.414015,0.0163782
25,0.860298,0.410165,0.386188,0.0268724
26,0.439946,0.754522,0.915191,0.00556022
27,0.15714,0.815013,0.151802,0.0053994
28,0.756777,0.917193,0.49755,0.00517036
29,0.34718,0.942869,0.971034,0.00331703
30,0.976589,0.0244015,0.388677,0.00732761
31,0.809793,0.469906,0.100534,0.00981118
32,0.0224111,0.953588,0.864618,0.00268731
33,0.817682,0.239702,0.684498,0.0255933
34,0.284987,0.26101,0.727113,0.032511
35,0.349777,0.944795,0.81536,0.00395557
36,0.919195,0.744345,0.759856,0.00498786
37,0.874397,0.917193,0.174247,0.00394206
38,0.253025,0.229048,0.695152,0.0333759
39,0.306295,0.197087,0.194418,0.0378316
40,0.973065,0.639919,0.799256,0.00675132
41,0.309752,0.944232,0.893291,0.0033478
42,0.78572,0.250356,0.695152,0.0297181
43,0.146486,0.825667,0.737767,0.00518245
44,0.975349,0.50072,0.975397,0.00561012
45,0.324298,0.972398,0.708908,0.00346412
46,0.0938836,0.663337,0.197694,0.0112909
47,0.231239,0.972398,0.121787,0.00382321
48,0.316948,0.783052,0.737767,0.00543406
49,0.325274,0.917193,0.574336,0.00573149
50,0.793117,0.972398,0.596972,0.00407869
51,0.14061,0.825872,0.69496,0.00543911
52,0.0312945,0.706591,0.214168,0.00901256
53,0.349684,0.944795,0.628272,0.00441348
54,0.455449,0.687166,0.85496,0.00711699
