cell_id,x,y,z,phi0
0,0.0862185,0.0853109,0.501691,0.00253037
1,0.973065,0.791193,0.619736,0.00741356
2,0.973065,0.840942,0.513537,0.00183172
3,0.94613,0.75342,0.852998,0.00739221
4,0.973065,0.832451,0.617135,0.00494991
5,0.686144,0.091882,0.848965,0.0169452
6,0.231717,0.868283,0.822998,0.000813762
7,0.979665,0.931553,0.979665,0.00168795
8,0.255787,0.0306273,0.538735,0.00628509
9,0.395218,0.734789,0.0299602,0.00109285
10,0.167794,0.143817,0.482074,0.0123724
11,0.689835,0.282318,0.812345,0.029951
12,0.62216,0.360849,0.645871,0.0282048
13,0.979665,0.0684473,0.979665,0.00138133
14,0.0790521,0.0537445,0.668855,0.00187198
15,0.0938836,0.48552,0.581511,0.0354333
16,0.754441,0.0537445,0.949127,0.00851184
17,0.189102,0.69782,0.822998,0.00430101
18,0.700489,0.846975,0.22638,0.00081378
19,0.979665,0.979665,0.931553,0.00146852
20,0.0546477,0.94705,0.18951,0.00277945
21,0.3923,0.0612547,0.628272,0.134425
22,0.210409,0.165125,0.60992,0.101205
23,0.0938836,0.706533,0.307737,0.0084665
24,0.919195,0.401255,0.414015,0.0468169
25,0.860298,0.410165,0.386188,0.0834723
26,0.439946,0.754522,0.915191,0.000895238
27,0.15714,0.815013,0.151802,0.00119978
28,0.756777,0.917193,0.49755,0.00081055
29,0.34718,0.942869,0.971034,0.000462328
30,0.976589,0.0244015,0.388677,0.00227097
31,0.809793,0.469906,0.100534,0.0119543
32,0.0224111,0.953588,0.864618,0.00212149
33,0.817682,0.239702,0.684498,0.0670422
34,0.284987,0.26101,0.727113,0.0495645
35,0.349777,0.944795,0.81536,0.000507584
36,0.919195,0.744345,0.759856,0.00800696
37,0.874397,0.917193,0.174247,0.00206321
38,0.253025,0.229048,0.695152,0.0663103
39,0.306295,0.197087,0.194418,0.0437261
40,0.973065,0.639919,0.799256,0.0254774
41,0.309752,0.944232,0.893291,0.000468243
42,0.78572,0.250356,0.695152,0.0700595
43,0.146486,0.825667,0.737767,0.00302938
44,0.975349,0.50072,0.975397,0.0078858
45,0.324298,0.972398,0.708908,0.000447617
46,0.0938836,0.663337,0.197694,0.0221472
47,0.231239,0.972398,0.121787,0.000492421
48,0.316948,0.783052,0.737767,0.00104125
49,0.325274,0.917193,0.574336,0.000738877
50,0.793117,0.972398,0.596972,0.000698422
51,0.14061,0.825872,0.69496,0.00208385
52,0.0312945,0.706591,0.214168,0.0214927
53,0.349684,0.944795,0.628272,0.000568816
54,0.455449,0.687166,0.85496,0.00129786
55,0.280894,0.839172,0.523397,0.00105693
56,0.38858,0.0306273,0.735591,0.0274958
57,0.231717,0.846975,0.780383,0.000892696
58,0.253025,0.250356,0.865614,0.0148262
59,0.686964,0.917193,0.568147,0.000883546
60,0.485239,0.259932,0.904538,0.00514516
61,0.749505,0.972398,0.460717,0.000556317
62,0.125909,0.0612547,0.853059,0.00256193
63,0.062589,0.139801,0.833958,0.0018759
64,0.658489,0.660251,0.915191,0.00114161
65,0.657873,0.783052,0.41815,0.00122466
66,0.94613,0.343985,0.852444,0.0139665
67,0.919195,0.58505,0.834045,0.021405
68,0.635923,0.506991,0.943461,0.00247561
69,0.606835,0.091882,0.483508,0.391515
70,0.54068,0.857629,0.343573,0.000970784
71,0.160743,0.091882,0.499301,0.00447374
72,0.423487,0.165125,0.396842,0.224083
73,0.629154,0.944795,0.420224,0.000668787
74,0.062589,0.42249,0.582344,0.0403594
75,0.266477,0.921259,0.083041,0.000606064
76,0.94613,0.0853109,0.319237,0.00724031
77,0.973065,0.883658,0.88497,0.00373217
78,0.293434,0.972398,0.212514,0.000544729
79,0.253025,0.846975,0.141148,0.00111445
80,0.274333,0.868283,0.268995,0.000862221
81,0.054924,0.947091,0.476387,0.000760667
82,0.83899,0.623243,0.727113,0.0067629
83,0.242371,0.218395,0.17311,0.0328442
84,0.33324,0.785955,0.0599203,0.00101213
85,0.34891,0.772398,0.130495,0.00121525
86,0.550881,0.917193,0.355753,0.00086906
87,0.421513,0.301525,0.518221,0.0159689
88,0.601757,0.89001,0.0599203,0.000621059
89,0.550881,0.917193,0.398369,0.000939704
90,0.606835,0.917193,0.440892,0.000820078
91,0.973065,0.725277,0.832863,0.0108348
92,0.585073,0.944795,0.421111,0.000760705
93,0.664836,0.917193,0.848965,0.00058916
94,0.284987,0.836321,0.684498,0.00138017
95,0.881606,0.410165,0.66319,0.0633637
96,0.689835,0.580627,0.130495,0.00406849
97,0.908541,0.412836,0.83851,0.0204259
98,0.860298,0.218395,0.684498,0.0312132
99,0.83899,0.239702,0.705806,0.0482213
100,0.94613,0.225104,0.41616,0.0180146
101,0.686144,0.917193,0.827657,0.000676061
102,0.85159,0.091882,0.318004,0.0178582
103,0.665657,0.506225,0.915191,0.00239084
104,0.684994,0.944795,0.875939,0.000498589
105,0.124046,0.0306273,0.21794,0.00364103
106,0.135832,0.474088,0.514035,0.0129761
107,0.800591,0.972398,0.639251,0.000672502
108,0.0312945,0.881173,0.656158,0.00225751
109,0.327602,0.708474,0.194418,0.00182048
110,0.748888,0.944795,0.877996,0.0007636
111,0.870952,0.69782,0.673844,0.00935729
112,0.713235,0.972398,0.861346,0.000497928
113,0.767238,0.0612547,0.780137,0.011
114,0.371283,0.238637,0.515101,0.112916
115,0.491571,0.150883,0.97173,0.00965483
116,0.788385,0.0306273,0.731354,0.00728046
117,0.714385,0.944795,0.834373,0.000599501
118,0.169304,0.921305,0.0853411,0.00073195
119,0.214463,0.944795,0.179963,0.000668174
120,0.562099,0.726596,0.0299602,0.000971729
121,0.849644,0.31428,0.865614,0.0201651
122,0.062589,0.537351,0.516317,0.0139643
123,0.94613,0.180859,0.380942,0.0151652
124,0.908541,0.208563,0.12349,0.00923189
125,0.689835,0.282318,0.151802,0.0261104
126,0.932395,0.0712968,0.931061,0.00221252
127,0.668527,0.282318,0.17311,0.0276531
128,0.919195,0.48879,0.491113,0.020181
129,0.919195,0.660252,0.654484,0.0136182
130,0.753759,0.45278,0.769729,0.0234923
131,0.0312945,0.449556,0.923716,0.0128723
132,0.657873,0.335588,0.141148,0.0112007
133,0.700489,0.31428,0.141148,0.0200616
134,0.550881,0.091882,0.355753,0.231481
135,0.679181,0.31428,0.162456,0.0187529
136,0.274333,0.463434,0.844306,0.00473497
137,0.700489,0.676512,0.822998,0.00290322
138,0.668527,0.772398,0.130495,0.0010798
139,0.316948,0.143817,0.332919,0.0778514
140,0.274333,0.250356,0.290303,0.0857263
141,0.908541,0.240772,0.215511,0.0202229
142,0.764413,0.165125,0.183764,0.0295038
143,0.242371,0.410165,0.130495,0.0190351
144,0.746349,0.740549,0.0898805,0.00189682
145,0.230427,0.0306273,0.443071,0.0118748
146,0.210409,0.165125,0.247688,0.0307201
147,0.212627,0.735596,0.518926,0.0026667
148,0.764413,0.740436,0.162456,0.00302085
149,0.881606,0.729782,0.322265,0.00509517
150,0.78572,0.292972,0.524689,0.0769428
151,0.685561,0.790953,0.943461,0.000798689
152,0.849644,0.378203,0.737767,0.0428335
153,0.625912,0.516704,0.300957,0.00624474
154,0.596517,0.917193,0.573912,0.000957077
155,0.689835,0.239702,0.300957,0.0831334
156,0.135832,0.410165,0.66319,0.0593526
157,0.92264,0.919447,0.163888,0.00262991
158,0.828336,0.868283,0.567305,0.00155274
159,0.743105,0.250356,0.268995,0.0549259
160,0.555989,0.972398,0.312242,0.000552948
161,0.973065,0.709579,0.344268,0.0100055
162,0.753759,0.75109,0.237034,0.00261167
163,0.199755,0.559319,0.833652,0.0161843
164,0.369308,0.268498,0.487325,0.0881005
165,0.230552,0.122992,0.97173,0.00706066
166,0.828336,0.868283,0.695152,0.00157928
167,0.764413,0.783052,0.141148,0.00245872
168,0.444795,0.740436,0.865614,0.00106782
169,0.0746698,0.952063,0.886686,0.00167031
170,0.66069,0.0306273,0.774234,0.0199216
171,0.743105,0.761744,0.141148,0.00264936
172,0.919195,0.75367,0.161496,0.0106812
173,0.175191,0.366719,0.212231,0.0576208
174,0.550884,0.40037,0.915191,0.00401664
175,0.323054,0.972398,0.497037,0.000586148
176,0.69226,0.33444,0.518983,0.0438142
177,0.0938836,0.442904,0.602819,0.0443155
178,0.0780122,0.781294,0.97173,0.00355894
179,0.973065,0.780153,0.924537,0.00436129
180,0.870952,0.165125,0.737767,0.00750045
181,0.205893,0.571651,0.0898805,0.0147416
182,0.498065,0.857629,0.322265,0.000973124
183,0.78572,0.868283,0.673844,0.00159713
184,0.359564,0.633897,0.268995,0.00291806
185,0.625912,0.793705,0.620574,0.00159276
186,0.274333,0.335588,0.865614,0.0154474
187,0.15714,0.75109,0.215726,0.0106777
188,0.231717,0.165125,0.482074,0.0687836
189,0.78572,0.633897,0.183764,0.0105297
190,0.685731,0.917193,0.156736,0.000616875
191,0.15714,0.708474,0.258341,0.0109673
192,0.653697,0.749604,0.943461,0.000830013
193,0.54068,0.154471,0.386188,0.272046
194,0.40218,0.569973,0.268995,0.00339838
195,0.565801,0.395817,0.551024,0.0056328
196,0.837886,0.944795,0.640804,0.000827305
197,0.199755,0.538012,0.194418,0.0244727
198,0.713212,0.862015,0.97173,0.000571385
199,0.860298,0.367549,0.85496,0.0174765
200,0.715007,0.972398,0.202262,0.000505272
201,0.94613,0.426611,0.46567,0.0168224
202,0.881606,0.197087,0.535343,0.0257528
203,0.40218,0.484742,0.141148,0.00403522
204,0.125845,0.476339,0.276871,0.0374873
205,0.40218,0.229048,0.141148,0.0199858
206,0.615258,0.250356,0.141148,0.0331205
207,0.585108,0.505498,0.0599203,0.00188759
208,0.879704,0.0612547,0.853748,0.00376634
209,0.0244015,0.388715,0.0235365,0.0067236
210,0.175798,0.270062,0.0705742,0.0130754
211,0.135832,0.239702,0.151802,0.01739
212,0.34532,0.875087,0.0599203,0.000686036
213,0.389188,0.972398,0.148899,0.000508539
214,0.976276,0.611143,0.0234511,0.0110106
215,0.349722,0.917193,0.179427,0.000678307
216,0.700489,0.250356,0.22638,0.0347509
217,0.280135,0.832586,0.0599203,0.000791785
218,0.973065,0.394551,0.734122,0.0370296
219,0.860298,0.218395,0.322265,0.0333728
220,0.319001,0.879152,0.0299602,0.00065203
221,0.129956,0.751295,0.662999,0.00330938
222,0.973065,0.873371,0.554808,0.00180644
223,0.269049,0.792143,0.0299602,0.000905801
224,0.625912,0.623243,0.130495,0.00227674
225,0.253768,0.851281,0.0898805,0.000835704
226,0.487411,0.143817,0.141148,0.0240428
227,0.421519,0.211893,0.0599203,0.0178526
228,0.199755,0.75109,0.705806,0.00390439
229,0.796374,0.45278,0.876268,0.0160707
230,0.193565,0.948908,0.055381,0.000521862
