cell_id,x,y,z,phi0
0,0.0862185,0.0853109,0.501691,0.0129508
1,0.973065,0.791193,0.619736,0.00642226
2,0.973065,0.840942,0.513537,0.00467839
3,0.94613,0.75342,0.852998,0.00450556
4,0.973065,0.832451,0.617135,0.00576826
5,0.686144,0.091882,0.848965,0.0115344
6,0.231717,0.868283,0.822998,0.00431764
7,0.979665,0.931553,0.979665,0.00222467
8,0.255787,0.0306273,0.538735,0.0234585
9,0.395218,0.734789,0.0299602,0.00651785
10,0.167794,0.143817,0.482074,0.024121
11,0.689835,0.282318,0.812345,0.0245524
12,0.62216,0.360849,0.645871,0.0565375
13,0.979665,0.0684473,0.979665,0.00297937
14,0.0790521,0.0537445,0.668855,0.00538556
15,0.0938836,0.48552,0.581511,0.0130697
16,0.754441,0.0537445,0.949127,0.00577456
17,0.189102,0.69782,0.822998,0.00666922
18,0.700489,0.846975,0.22638,0.00750358
19,0.979665,0.979665,0.931553,0.0019391
20,0.0546477,0.94705,0.18951,0.0034172
21,0.3923,0.0612547,0.628272,0.118266
22,0.210409,0.165125,0.60992,0.042491
23,0.0938836,0.706533,0.307737,0.00780357
24,0.919195,0.401255,0.414015,0.0175975
25,0.860298,0.410165,0.386188,0.0278979
26,0.439946,0.754522,0.915191,0.00592356
27,0.15714,0.815013,0.151802,0.00497633
28,0.756777,0.917193,0.49755,0.00583942
29,0.34718,0.942869,0.971034,0.00372527
30,0.976589,0.0244015,0.388677,0.00672949
31,0.809793,0.469906,0.100534,0.00980944
32,0.0224111,0.953588,0.864618,0.00281649
33,0.817682,0.239702,0.684498,0.023943
34,0.284987,0.26101,0.727113,0.0314236
35,0.349777,0.944795,0.81536,0.0046337
36,0.919195,0.744345,0.759856,0.0049705
37,0.874397,0.917193,0.174247,0.00388311
38,0.253025,0.229048,0.695152,0.0325117
39,0.306295,0.197087,0.194418,0.0345204
40,0.973065,0.639919,0.799256,0.00650646
41,0.309752,0.944232,0.893291,0.00375956
42,0.78572,0.250356,0.695152,0.0279346
43,0.146486,0.825667,0.737767,0.00561839
44,0.975349,0.50072,0.975397,0.00514973
45,0.324298,0.972398,0.708908,0.00413129
46,0.0938836,0.663337,0.197694,0.00950434
47,0.231239,0.972398,0.121787,0.00401733
48,0.316948,0.783052,0.737767,0.00623215
49,0.325274,0.917193,0.574336,0.00663971
50,0.793117,0.972398,0.596972,0.00470212
51,0.14061,0.825872,0.69496,0.00591729
52,0.0312945,0.706591,0.214168,0.00756247
53,0.349684,0.944795,0.628272,0.00520375
54,0.455449,0.687166,0.85496,0.00780975
55,0.280894,0.839172,0.523397,0.00660972
56,0.38858,0.0306273,0.735591,0.0236746
57,0.231717,0.846975,0.780383,0.00454628
58,0.253025,0.250356,0.865614,0.0111679
59,0.686964,0.917193,0.568147,0.00737452
60,0.485239,0.259932,0.904538,0.0127344
61,0.749505,0.972398,0.460717,0.00521963
62,0.125909,0.0612547,0.853059,0.00490639
63,0.062589,0.139801,0.833958,0.00444641
64,0.658489,0.660251,0.915191,0.0071362
65,0.657873,0.783052,0.41815,0.0132414
66,0.94613,0.343985,0.852444,0.00756394
67,0.919195,0.58505,0.834045,0.00712203
68,0.635923,0.506991,0.943461,0.00887514
69,0.606835,0.091882,0.483508,0.336036
70,0.54068,0.857629,0.343573,0.0100098
71,0.160743,0.091882,0.499301,0.0190194
72,0.423487,0.165125,0.396842,0.235209
73,0.629154,0.944795,0.420224,0.00710957
74,0.062589,0.42249,0.582344,0.0162793
75,0.266477,0.921259,0.083041,0.00366953
76,0.94613,0.0853109,0.319237,0.0109272
77,0.973065,0.883658,0.88497,0.00311692
78,0.293434,0.972398,0.212514,0.00513214
79,0.253025,0.846975,0.141148,0.00621703
80,0.274333,0.868283,0.268995,0.0048362
81,0.054924,0.947091,0.476387,0.00355892
82,0.83899,0.623243,0.727113,0.00700978
83,0.242371,0.218395,0.17311,0.0213251
84,0.33324,0.785955,0.0599203,0.00518249
85,0.34891,0.772398,0.130495,0.00666971
86,0.550881,0.917193,0.355753,0.00945103
87,0.421513,0.301525,0.518221,0.0837415
88,0.601757,0.89001,0.0599203,0.00533041
89,0.550881,0.917193,0.398369,0.0104673
90,0.606835,0.917193,0.440892,0.00865171
91,0.973065,0.725277,0.832863,0.00472043
92,0.585073,0.944795,0.421111,0.0085522
93,0.664836,0.917193,0.848965,0.00434814
94,0.284987,0.836321,0.684498,0.00618715
95,0.881606,0.410165,0.66319,0.0156979
96,0.689835,0.580627,0.130495,0.0160891
97,0.908541,0.412836,0.83851,0.00786275
98,0.860298,0.218395,0.684498,0.014991
99,0.83899,0.239702,0.705806,0.0187521
100,0.94613,0.225104,0.41616,0.0182807
101,0.686144,0.917193,0.827657,0.00519141
102,0.85159,0.091882,0.318004,0.0161796
103,0.665657,0.506225,0.915191,0.00899108
