cell_id,x,y,z,phi0
0,0.0825625,0.335588,0.85496,0.0128645
1,0.780393,0.298299,0.455439,0.0493153
2,0.0153137,0.399877,0.94441,0.00760189
3,0.167794,0.75109,0.41815,0.0128484
4,0.83899,0.165125,0.716459,0.0349717
5,0.709515,0.336544,0.975423,0.0220329
6,0.263679,0.559319,0.162456,0.0145423
7,0.0306273,0.059928,0.711886,0.0112041
8,0.934962,0.029293,0.484787,0.0162483
9,0.844317,0.117182,0.73244,0.0244806
10,0.0719086,0.271664,0.258341,0.0176783
11,0.71647,0.276991,0.807018,0.0458699
12,0.945529,0.900244,0.620574,0.00599097
13,0.860298,0.111855,0.727113,0.0222696
14,0.556661,0.87361,0.189091,0.0160302
15,0.572642,0.857629,0.183764,0.0166541
16,0.374401,0.988379,0.573076,0.0104454
17,0.689835,0.75109,0.524689,0.0187391
18,0.346639,0.0439394,0.624344,0.218989
19,0.0776327,0.965136,0.374682,0.00590115
20,0.794817,0.0146465,0.747043,0.0169054
21,0.551334,0.857629,0.183764,0.0161996
22,0.00886379,0.60625,0.020508,0.00485756
23,0.253025,0.793705,0.620574,0.0156442
24,0.989046,0.0724629,0.728271,0.0120267
25,0.306295,0.719128,0.769729,0.0154015
26,0.354237,0.213068,0.881595,0.0384175
27,0.978091,0.0605542,0.680652,0.0156573
28,0.125178,0.793705,0.322265,0.0118725
29,0.0306273,0.186973,0.330874,0.0164096
30,0.967266,0.0401183,0.328959,0.00907159
31,0.47143,0.543339,0.924211,0.019107
32,0.59395,0.857629,0.886922,0.00909549
33,0.934875,0.94286,0.791037,0.00722782
34,0.64722,0.559319,0.769729,0.0263274
35,0.0105085,0.988918,0.574046,0.00597194
36,0.634263,0.220793,0.0279586,0.0227391
37,0.0565461,0.988379,0.141999,0.00619361
38,0.295641,0.687166,0.748421,0.0153308
39,0.989046,0.651301,0.685631,0.00776162
40,0.370218,0.75109,0.141148,0.0137032
41,0.816396,0.965661,0.964316,0.00493162
42,0.306295,0.708474,0.844306,0.00953128
43,0.967137,0.923074,0.854066,0.00537591
44,0.881606,0.846975,0.716459,0.0103172
45,0.408806,0.715814,0.0279586,0.00838242
46,0.978091,0.3598,0.459691,0.0206626
47,0.306295,0.687166,0.85496,0.00991545
48,0.306295,0.644551,0.844306,0.0112227
49,0.423487,0.559319,0.492727,0.052866
50,0.860298,0.719128,0.631228,0.0133841
51,0.924221,0.94286,0.940191,0.00449934
52,0.167794,0.50605,0.428804,0.026664
53,0.132763,0.300056,0.963134,0.0158188
54,0.322275,0.585954,0.838979,0.0152469
55,0.64722,0.410165,0.85496,0.0372829
56,0.338256,0.644551,0.833652,0.0126896
57,0.269006,0.5753,0.743094,0.0192871
58,0.423487,0.303626,0.897576,0.0364816
59,0.119851,0.4368,0.636555,0.0275658
60,0.205082,0.894918,0.668517,0.0117628
61,0.823009,0.468761,0.455439,0.0245817
62,0.290314,0.660532,0.0932059,0.00972724
63,0.311621,0.117182,0.114514,0.0393877
64,0.132713,0.753465,0.963134,0.00602865
65,0.135832,0.601935,0.343573,0.0194817
66,0.119851,0.351568,0.593939,0.0338316
67,0.236972,0.543083,0.975423,0.0106261
68,0.514446,0.988379,0.399211,0.0133849
69,0.763128,0.267082,0.0279586,0.0162692
70,0.881606,0.0905476,0.130495,0.0105004
71,0.902871,0.211132,0.0419379,0.00881955
72,0.0719086,0.591281,0.162456,0.00874148
73,0.519373,0.0692398,0.588613,0.597734
74,0.231717,0.50605,0.119841,0.0143387
75,0.652546,0.756417,0.167783,0.0169505
76,0.370218,0.729782,0.492727,0.025315
77,0.59395,0.644551,0.332919,0.0400991
78,0.721797,0.26101,0.705806,0.0617291
79,0.274333,0.665859,0.844306,0.0122308
80,0.27966,0.649878,0.828325,0.0126557
81,0.253025,0.378203,0.109187,0.025337
82,0.045941,0.853058,0.470997,0.00754788
83,0.0306273,0.882195,0.0612269,0.00559164
84,0.641893,0.713801,0.444785,0.0215319
85,0.806089,0.186965,0.0279586,0.0116093
86,0.158873,0.603147,0.0139793,0.00904972
87,0.0153137,0.795752,0.16815,0.00740019
88,0.236972,0.976757,0.840903,0.00600673
89,0.380872,0.538012,0.85496,0.0175565
90,0.64722,0.857629,0.876268,0.0115909
91,0.54068,0.665859,0.205072,0.0278317
92,0.114524,0.50605,0.897576,0.0101253
93,0.0253491,0.262032,0.966124,0.00810442
94,0.807028,0.111855,0.599266,0.0603653
95,0.380872,0.772398,0.162456,0.0149624
