cell_id,x,y,z,phi0
0,0.0825625,0.335588,0.85496,0.0148777
1,0.780393,0.298299,0.455439,0.0649003
2,0.0153137,0.399877,0.94441,0.0078173
3,0.167794,0.75109,0.41815,0.0133324
4,0.83899,0.165125,0.716459,0.0340927
5,0.709515,0.336544,0.975423,0.015205
6,0.263679,0.559319,0.162456,0.0155159
7,0.0306273,0.059928,0.711886,0.00854984
8,0.934962,0.029293,0.484787,0.0152512
9,0.844317,0.117182,0.73244,0.0227546
10,0.0719086,0.271664,0.258341,0.019516
11,0.71647,0.276991,0.807018,0.0348267
12,0.945529,0.900244,0.620574,0.00837204
13,0.860298,0.111855,0.727113,0.0210702
14,0.556661,0.87361,0.189091,0.0116883
15,0.572642,0.857629,0.183764,0.012348
16,0.374401,0.988379,0.573076,0.0118481
17,0.689835,0.75109,0.524689,0.0223329
18,0.346639,0.0439394,0.624344,0.210522
19,0.0776327,0.965136,0.374682,0.00676645
20,0.794817,0.0146465,0.747043,0.0158233
21,0.551334,0.857629,0.183764,0.0119061
22,0.00886379,0.60625,0.020508,0.00581244
23,0.253025,0.793705,0.620574,0.0151195
24,0.989046,0.0724629,0.728271,0.00929639
25,0.306295,0.719128,0.769729,0.0169761
26,0.354237,0.213068,0.881595,0.0296069
27,0.978091,0.0605542,0.680652,0.011136
28,0.125178,0.793705,0.322265,0.011115
29,0.0306273,0.186973,0.330874,0.0188598
30,0.967266,0.0401183,0.328959,0.0117782
31,0.47143,0.543339,0.924211,0.0173857
32,0.59395,0.857629,0.886922,0.00918737
33,0.934875,0.94286,0.791037,0.00710436
34,0.64722,0.559319,0.769729,0.0251761
35,0.0105085,0.988918,0.574046,0.00533621
36,0.634263,0.220793,0.0279586,0.0203603
37,0.0565461,0.988379,0.141999,0.00507155
38,0.295641,0.687166,0.748421,0.0169341
39,0.989046,0.651301,0.685631,0.0128167
40,0.370218,0.75109,0.141148,0.011833
41,0.816396,0.965661,0.964316,0.00521771
42,0.306295,0.708474,0.844306,0.011484
43,0.967137,0.923074,0.854066,0.00609873
44,0.881606,0.846975,0.716459,0.0100324
45,0.408806,0.715814,0.0279586,0.00857487
46,0.978091,0.3598,0.459691,0.0210041
47,0.306295,0.687166,0.85496,0.0121664
48,0.306295,0.644551,0.844306,0.0135646
49,0.423487,0.559319,0.492727,0.0523196
50,0.860298,0.719128,0.631228,0.0153275
51,0.924221,0.94286,0.940191,0.00514382
52,0.167794,0.50605,0.428804,0.02208
53,0.132763,0.300056,0.963134,0.0100006
54,0.322275,0.585954,0.838979,0.0179622
55,0.64722,0.410165,0.85496,0.0286136
56,0.338256,0.644551,0.833652,0.0155287
57,0.269006,0.5753,0.743094,0.0214895
58,0.423487,0.303626,0.897576,0.0290095
59,0.119851,0.4368,0.636555,0.0290677
60,0.205082,0.894918,0.668517,0.0111603
61,0.823009,0.468761,0.455439,0.0316255
62,0.290314,0.660532,0.0932059,0.0111011
63,0.311621,0.117182,0.114514,0.0237705
64,0.132713,0.753465,0.963134,0.00706364
65,0.135832,0.601935,0.343573,0.0167842
66,0.119851,0.351568,0.593939,0.0376984
67,0.236972,0.543083,0.975423,0.0100766
68,0.514446,0.988379,0.399211,0.0130691
69,0.763128,0.267082,0.0279586,0.0152265
70,0.881606,0.0905476,0.130495,0.0115588
71,0.902871,0.211132,0.0419379,0.00925354
72,0.0719086,0.591281,0.162456,0.00971802
73,0.519373,0.0692398,0.588613,0.601191
74,0.231717,0.50605,0.119841,0.0155252
75,0.652546,0.756417,0.167783,0.0145908
76,0.370218,0.729782,0.492727,0.0260195
77,0.59395,0.644551,0.332919,0.0346006
78,0.721797,0.26101,0.705806,0.0550414
79,0.274333,0.665859,0.844306,0.0147008
80,0.27966,0.649878,0.828325,0.01516
81,0.253025,0.378203,0.109187,0.0201636
82,0.045941,0.853058,0.470997,0.00710161
83,0.0306273,0.882195,0.0612269,0.00468434
84,0.641893,0.713801,0.444785,0.0262432
85,0.806089,0.186965,0.0279586,0.0115029
86,0.158873,0.603147,0.0139793,0.00865905
87,0.0153137,0.795752,0.16815,0.00610837
88,0.236972,0.976757,0.840903,0.006858
89,0.380872,0.538012,0.85496,0.0196609
90,0.64722,0.857629,0.876268,0.0096593
91,0.54068,0.665859,0.205072,0.0215768
92,0.114524,0.50605,0.897576,0.0119751
93,0.0253491,0.262032,0.966124,0.0064288
94,0.807028,0.111855,0.599266,0.0647144
95,0.380872,0.772398,0.162456,0.0116008
96,0.311621,0.62857,0.636555,0.0275767
97,0.833663,0.490069,0.775056,0.0191459
98,0.210409,0.729782,0.162456,0.0118077
99,0.604604,0.591281,0.41815,0.0438422
100,0.902913,0.932206,0.332919,0.0082283
101,0.567315,0.607262,0.391515,0.0386255
102,0.0711229,0.988379,0.753192,0.00618416
103,0.045941,0.770385,0.331982,0.00876864
104,0.183775,0.724455,0.881595,0.00920256
105,0.588623,0.607262,0.380861,0.0400199
106,0.78572,0.175779,0.482074,0.0709452
107,0.178448,0.133163,0.17311,0.0168018
108,0.287849,0.988379,0.824545,0.00730455
109,0.242371,0.580627,0.535343,0.0274962
110,0.0153137,0.148454,0.426852,0.0195388
111,0.22639,0.127836,0.892249,0.0140872
112,0.0153137,0.108254,0.774946,0.00933363
113,0.729128,0.0146465,0.0716392,0.00976315
114,0.556661,0.671186,0.423477,0.0376241
115,0.577969,0.660532,0.434131,0.0382399
116,0.412834,0.495396,0.769729,0.0336181
117,0.92418,0.965136,0.795938,0.00669714
118,0.567315,0.543339,0.743094,0.0290602
119,0.503392,0.894918,0.199745,0.0128693
120,0.650917,0.988379,0.95472,0.00555443
121,0.0825625,0.26101,0.716459,0.0183857
122,0.989046,0.795763,0.771891,0.008412
123,0.720005,0.976757,0.105707,0.00758471
124,0.504583,0.965136,0.0832813,0.00665665
125,0.64722,0.197087,0.0878789,0.0270744
126,0.284987,0.729782,0.332919,0.0219572
127,0.66655,0.976757,0.634377,0.0116134
128,0.045941,0.244974,0.813198,0.0113133
129,0.727124,0.117182,0.870941,0.0219551
130,0.466103,0.111855,0.66319,0.18205
131,0.0153137,0.448032,0.771891,0.0143441
132,0.561988,0.538012,0.759075,0.0290702
133,0.989175,0.991306,0.625,0.00600713
134,0.600706,0.148454,0.987711,0.0174999
135,0.106862,0.0146465,0.794946,0.00760468
136,0.967137,0.897183,0.502798,0.00713668
137,0.365848,0.029293,0.461633,1.02623
138,0.151813,0.255683,0.455439,0.0459181
139,0.567315,0.607262,0.711132,0.0296061
140,0.269006,0.159798,0.380861,0.0929165
141,0.114524,0.292972,0.343573,0.0344328
142,0.892259,0.0692398,0.748421,0.0138193
143,0.0306273,0.566237,0.416791,0.0141966
144,0.0825625,0.292972,0.343573,0.0272888
145,0.167794,0.0692398,0.769729,0.0145518
146,0.519373,0.75109,0.929538,0.0111273
147,0.114524,0.154471,0.514035,0.0348126
148,0.0719086,0.0905476,0.940191,0.00620489
149,0.503392,0.5753,0.679171,0.0378772
150,0.448749,0.966875,0.987711,0.0052808
151,0.210409,0.846975,0.85496,0.00862228
152,0.178448,0.815013,0.17311,0.00923062
153,0.508719,0.548666,0.673844,0.0400944
154,0.344349,0.147131,0.975423,0.014912
155,0.519373,0.239702,0.865614,0.0397475
156,0.416746,0.988379,0.748692,0.00841228
157,0.0153137,0.226014,0.491631,0.0211763
158,0.707978,0.102007,0.987711,0.0109067
159,0.0414526,0.675756,0.964597,0.00604827
160,0.514046,0.5753,0.668517,0.0379314
161,0.0306273,0.347198,0.631584,0.0223763
162,0.806643,0.0439394,0.463401,0.0552688
163,0.556661,0.19176,0.114514,0.036016
164,0.300968,0.38353,0.817672,0.0266337
165,0.503392,0.127836,0.434131,0.491432
166,0.429686,0.976757,0.745233,0.00884366
167,0.535354,0.458107,0.636555,0.0612934
168,0.045941,0.842404,0.759681,0.00799419
169,0.386199,0.62857,0.221053,0.0202108
170,0.519373,0.538012,0.684498,0.0427516
171,0.54068,0.292972,0.247687,0.0584031
172,0.924265,0.226012,0.0139793,0.00814399
173,0.535354,0.468761,0.807018,0.0298369
174,0.801701,0.13849,0.359554,0.0610532
175,0.989046,0.795794,0.513139,0.00866624
176,0.0105462,0.924135,0.989743,0.00412783
177,0.870952,0.388857,0.17311,0.0185452
178,0.902913,0.889591,0.332919,0.00896224
179,0.47143,0.926879,0.125168,0.00900519
180,0.546007,0.607262,0.721786,0.0256077
181,0.0719086,0.122509,0.460766,0.0277307
182,0.625912,0.676512,0.332919,0.0275503
183,0.0306273,0.125131,0.0550774,0.00681186
184,0.631239,0.703147,0.455439,0.0276298
185,0.0932164,0.601935,0.0665711,0.00858907
186,0.0719086,0.94286,0.300957,0.00726382
187,0.135832,0.708474,0.833652,0.0106456
188,0.0153137,0.699455,0.793541,0.00880863
189,0.59395,0.69782,0.375534,0.0316057
190,0.604604,0.665859,0.36488,0.0345052
191,0.263679,0.218395,0.705806,0.0555151
192,0.0306273,0.543083,0.373833,0.0145137
193,0.892259,0.921552,0.791037,0.00803996
194,0.172535,0.976757,0.259498,0.00753769
195,0.0306273,0.0945461,0.28946,0.0127569
196,0.892217,0.965136,0.452747,0.00729647
197,0.0719086,0.75109,0.503381,0.0104021
198,0.583296,0.708474,0.332919,0.0286875
199,0.978091,0.842194,0.685222,0.00851306
200,0.045941,0.759731,0.42821,0.00898202
201,0.838005,0.0146465,0.273499,0.0170553
202,0.791047,0.905571,0.657863,0.0113469
203,0.775066,0.793705,0.620574,0.0168422
204,0.284987,0.644551,0.41815,0.0274507
205,0.045941,0.8255,0.257062,0.00739314
206,0.304833,0.988379,0.0573609,0.00553104
207,0.199755,0.324934,0.428804,0.0542853
208,0.0719086,0.889591,0.460766,0.00763277
209,0.0106359,0.021325,0.893711,0.0041179
210,0.322275,0.287645,0.807018,0.0300718
211,0.62494,0.922661,0.987711,0.0058118
212,0.407507,0.745763,0.604593,0.0247819
213,0.0410999,0.768371,0.964598,0.00532171
214,0.045941,0.725923,0.620666,0.0111661
215,0.0825625,0.804359,0.631228,0.0106614
216,0.22639,0.649878,0.625901,0.0217256
217,0.86814,0.908203,0.0139793,0.00545002
218,0.54068,0.378203,0.588613,0.092674
219,0.461245,0.976757,0.944961,0.00564741
220,0.780393,0.490069,0.370207,0.0353466
221,0.546007,0.38353,0.572632,0.0934689
222,0.167794,0.580627,0.727113,0.0185038
223,0.604604,0.378203,0.641882,0.0856225
224,0.54068,0.410165,0.631228,0.0716606
225,0.763128,0.976757,0.438479,0.00853403
226,0.551334,0.410165,0.620574,0.0820573
227,0.0152773,0.921069,0.556219,0.00613194
228,0.249804,0.949175,0.0139793,0.00485892
229,0.152226,0.976757,0.885535,0.0057769
230,0.119851,0.62857,0.817672,0.0139017
231,0.0306273,0.140692,0.545679,0.0231473
232,0.546007,0.394184,0.636555,0.0742382
233,0.194428,0.298299,0.796364,0.0305251
234,0.0719086,0.878937,0.620574,0.00875377
235,0.235669,0.029293,0.0844993,0.00880524
236,0.64722,0.346241,0.588613,0.0979494
237,0.159094,0.0146465,0.302329,0.0166942
238,0.109197,0.13849,0.146475,0.0120165
239,0.045941,0.200479,0.470997,0.0242306
240,0.989175,0.991461,0.275,0.00544181
241,0.455449,0.0798937,0.556651,0.697743
242,0.114524,0.324934,0.503381,0.0358108
243,0.588623,0.404838,0.561978,0.0963921
244,0.625912,0.335588,0.545997,0.107072
245,0.327602,0.0692398,0.279649,0.0603444
246,0.989046,0.106281,0.196186,0.00947998
247,0.945529,0.410165,0.130495,0.0113455
248,0.0825625,0.804359,0.386188,0.0104084
249,0.114524,0.729782,0.407496,0.0135518
250,0.221063,0.495396,0.631228,0.0339078
251,0.535354,0.660532,0.913557,0.0142019
252,0.322889,0.976757,0.634364,0.0113118
253,0.0306273,0.646352,0.545667,0.0127085
254,0.0932164,0.420819,0.631228,0.0262606
255,0.0932164,0.75109,0.279649,0.0118118
256,0.636566,0.346241,0.599266,0.100944
257,0.178448,0.601935,0.194418,0.0158704
258,0.978091,0.210177,0.191364,0.0142405
259,0.641893,0.362222,0.572632,0.097085
260,0.0985433,0.799032,0.796364,0.00925691
261,0.631239,0.362222,0.604593,0.0920294
262,0.165053,0.0439394,0.126831,0.00942915
263,0.0306273,0.186966,0.244958,0.0141728
264,0.128832,0.029293,0.0545525,0.00602675
265,0.773225,0.988379,0.351057,0.00926074
266,0.221063,0.94286,0.151802,0.00746075
267,0.849644,0.0905476,0.460766,0.0528294
268,0.147987,0.728859,0.0139793,0.00673644
269,0.0932164,0.761744,0.205072,0.00941284
270,0.045941,0.0840299,0.258208,0.0134967
271,0.045941,0.162267,0.246408,0.0144864
272,0.631239,0.362222,0.551324,0.101698
273,0.978091,0.0831604,0.432229,0.0195616
274,0.668527,0.633897,0.503381,0.0318574
275,0.354237,0.884264,0.551324,0.0162637
276,0.0719086,0.122509,0.077225,0.00772515
277,0.727124,0.543339,0.775056,0.024443
278,0.487411,0.516704,0.588613,0.0592451
279,0.135832,0.165125,0.577959,0.0360955
280,0.191058,0.988379,0.254749,0.00796477
281,0.0932164,0.94286,0.279649,0.00724698
282,0.114524,0.687166,0.077225,0.00792003
283,0.0194421,0.990042,0.155698,0.00455084
284,0.0153137,0.651301,0.168166,0.00751347
285,0.343583,0.799032,0.657863,0.0180398
286,0.235756,0.821762,0.987711,0.00712575
287,0.508719,0.516704,0.599266,0.0570604
288,0.135163,0.965451,0.762196,0.0069179
289,0.945529,0.292972,0.332919,0.0229892
290,0.380872,0.761744,0.109187,0.00956598
291,0.434141,0.601935,0.41815,0.0435293
292,0.886932,0.745763,0.380861,0.0131758
293,0.967266,0.582591,0.0391198,0.00660119
294,0.135832,0.229048,0.343573,0.0407096
295,0.141159,0.671186,0.881595,0.0110878
296,0.989046,0.107203,0.251482,0.0104106
297,0.380872,0.633897,0.428804,0.0349377
298,0.290314,0.777725,0.146475,0.0112407
299,0.978091,0.762122,0.320221,0.00839854
300,0.370218,0.623243,0.428804,0.0367692
301,0.805852,0.0592475,0.0279586,0.00643859
302,0.945529,0.836321,0.844306,0.00763036
303,0.455449,0.889591,0.0878789,0.00748865
304,0.989046,0.145827,0.882072,0.00775816
305,0.967137,0.499211,0.385423,0.0173216
306,0.881606,0.665859,0.673844,0.0161349
307,0.205082,0.287645,0.924211,0.0144073
308,0.0985433,0.298299,0.743094,0.0215945
309,0.881606,0.75109,0.290303,0.0120766
310,0.945529,0.378203,0.556651,0.0231471
311,0.989046,0.477436,0.642501,0.0168779
312,0.897586,0.287645,0.402169,0.0297911
313,0.173121,0.490069,0.73244,0.0221795
314,0.122126,0.0439394,0.806585,0.00896647
315,0.0103624,0.0600035,0.979335,0.00351263
316,0.167794,0.154471,0.876268,0.0119407
317,0.6632,0.713801,0.402169,0.0253889
318,0.849644,0.910898,0.258341,0.00850563
319,0.980583,0.00915064,0.950065,0.00308166
320,0.897586,0.372876,0.146475,0.0137543
321,0.0719086,0.165125,0.929538,0.00782751
322,0.0719086,0.175779,0.41815,0.0248176
323,0.210409,0.846975,0.620574,0.0127629
324,0.989046,0.0575918,0.254598,0.00836447
325,0.892003,0.976757,0.278248,0.00728134
326,0.0153137,0.900846,0.707227,0.00700048
327,0.0103624,0.0758529,0.988486,0.00369697
328,0.902913,0.239702,0.450112,0.0367742
329,0.59395,0.165125,0.727113,0.0931515
330,0.945529,0.346241,0.897576,0.0123241
331,0.902913,0.0905476,0.85496,0.00999794
332,0.0241775,0.645051,0.966061,0.00639033
333,0.508719,0.463434,0.428804,0.0781231
334,0.732451,0.250356,0.0665711,0.0187388
335,0.924221,0.303626,0.194418,0.0163423
336,0.54068,0.0798937,0.215726,0.0600847
337,0.15714,0.335588,0.119841,0.0175624
338,0.498065,0.474088,0.41815,0.0743463
339,0.00961529,0.988091,0.22479,0.00512462
340,0.764413,0.591281,0.460766,0.0279314
341,0.0932164,0.175779,0.556651,0.0332966
342,0.114524,0.50605,0.109187,0.0121317
343,0.989046,0.303572,0.275983,0.0183259
344,0.978091,0.427313,0.202068,0.0144607
345,0.114524,0.676512,0.833652,0.011364
346,0.141159,0.596608,0.679171,0.0202261
347,0.0782455,0.965136,0.418939,0.00643972
348,0.886932,0.681839,0.551324,0.0154529
349,0.945529,0.665859,0.0878789,0.00829344
350,0.508719,0.474088,0.407496,0.0666321
351,0.737778,0.458107,0.881595,0.0205813
352,0.111003,0.976757,0.927081,0.00506569
353,0.346639,0.0439394,0.325612,0.0980563
354,0.708449,0.988379,0.74722,0.0077396
355,0.0153137,0.670051,0.556241,0.0117963
356,0.263679,0.793705,0.556651,0.0172488
357,0.780393,0.458107,0.615247,0.0358973
358,0.838605,0.0439394,0.497209,0.041556
359,0.0719086,0.601935,0.279649,0.0131027
360,0.508719,0.495396,0.460766,0.0750695
361,0.375545,0.106529,0.796364,0.0485991
362,0.519373,0.495396,0.47142,0.0714354
363,0.78572,0.740436,0.258341,0.0148629
364,0.439468,0.724455,0.455439,0.0305461
365,0.902913,0.122509,0.237034,0.0167869
366,0.860298,0.0692398,0.705806,0.0192273
367,0.978091,0.143951,0.415037,0.0239124
368,0.5247,0.415492,0.498054,0.101967
369,0.0372163,0.392348,0.0245873,0.00686671
370,0.173121,0.756417,0.870941,0.00994974
371,0.876279,0.884264,0.625901,0.0106951
372,0.689835,0.250356,0.41815,0.139014
373,0.370218,0.324934,0.66319,0.0750011
374,0.689835,0.26101,0.215726,0.0452764
375,0.0111646,0.374426,0.010608,0.00615281
376,0.455449,0.0692398,0.130495,0.032489
377,0.0103624,0.926514,0.0103624,0.00353784
378,0.668527,0.346241,0.0878789,0.0226199
379,0.546007,0.87361,0.721786,0.0127057
380,0.859699,0.029293,0.208786,0.012675
381,0.929548,0.372876,0.29563,0.0226514
382,0.929548,0.458107,0.0932059,0.0104123
383,0.635494,0.0439394,0.298055,0.0793677
384,0.606449,0.00869404,0.0215533,0.00944491
385,0.90824,0.543339,0.274322,0.0176801
386,0.924334,0.177825,0.987711,0.00871531
387,0.503392,0.458107,0.455439,0.0879523
388,0.967137,0.526768,0.941655,0.0082317
389,0.407507,0.468761,0.934865,0.0186832
390,0.918894,0.607262,0.519362,0.0153715
391,0.327602,0.559319,0.41815,0.0387813
392,0.97822,0.0254327,0.508018,0.0129372
393,0.924221,0.94286,0.66319,0.00818843
394,0.967137,0.888589,0.919311,0.00536658
395,0.688936,0.965136,0.458997,0.0129235
396,0.967395,0.0146465,0.495518,0.0118268
397,0.34891,0.601935,0.41815,0.0332636
398,0.679181,0.197087,0.151802,0.0300994
399,0.491859,0.976757,0.0837759,0.00635231
400,0.720169,0.865391,0.0279586,0.00707869
401,0.978091,0.31339,0.244969,0.0166901
402,0.359564,0.580627,0.36488,0.0374091
403,0.902913,0.165125,0.85496,0.0140005
404,0.807028,0.761744,0.833652,0.0105174
405,0.370218,0.559319,0.428804,0.0441864
406,0.989046,0.875864,0.384575,0.00676135
407,0.886932,0.884264,0.359554,0.00960298
408,0.54068,0.94286,0.524689,0.015405
409,0.934962,0.439813,0.975423,0.00947124
410,0.731421,0.965136,0.796463,0.00810777
411,0.989687,0.0760264,0.98955,0.00417298
412,0.978091,0.738967,0.889335,0.00695637
413,0.764413,0.591281,0.759075,0.0198765
414,0.945529,0.815013,0.801691,0.00832723
415,0.844317,0.809686,0.881595,0.00764006
416,0.967137,0.897439,0.0848498,0.00520434
417,0.343583,0.490069,0.284976,0.0371722
418,0.380872,0.591281,0.375534,0.0369106
419,0.945724,0.0439394,0.1265,0.00627154
420,0.881135,0.30357,0.987711,0.0103934
421,0.753759,0.0905476,0.514035,0.136702
422,0.045941,0.0740208,0.5896,0.0175358
423,0.387314,0.029293,0.271975,0.0681476
424,0.338256,0.559319,0.428804,0.0377569
425,0.237044,0.62857,0.561978,0.025202
426,0.967137,0.129852,0.513822,0.0298376
427,0.823009,0.894918,0.189091,0.00959839
428,0.881606,0.239702,0.386188,0.0390205
429,0.989046,0.102374,0.270448,0.0127922
430,0.167794,0.143817,0.247687,0.0239361
431,0.679181,0.857629,0.119841,0.010552
432,0.374347,0.988379,0.225248,0.00926233
433,0.295641,0.633897,0.599266,0.0293767
434,0.295641,0.623243,0.588613,0.0300535
435,0.045941,0.118539,0.12619,0.00820756
436,0.83899,0.303626,0.450112,0.0483559
