face_id,left_cell,right_cell,nx,ny,nz,area,fx,fy,fz,bc_type,bc_value
0,0,2804,-0.2054941319726599,0.978658347803156,-0.0,0.00545087511749422,0.08345206578572593,0.11374792183058946,0.5022542178630832,internal,0.0
1,0,916,0.9700811258088539,-0.24278099050260663,0.0,0.005381832830020298,0.11495801053289144,0.08167290687561034,0.5022542178630831,internal,0.0
2,0,756,-0.24414699820748925,-0.23981537799773753,-0.9396173836951265,0.007731660239738387,0.07323197764002846,0.07291146839278428,0.4869218965371455,internal,0.0
3,0,930,-0.28015255824425844,-0.2751821326727262,0.9196680585770538,0.0078993744518245,0.07323197764002846,0.07291146839278428,0.5153323213259384,internal,0.0
4,1,413,-0.43606024034492025,-0.6432257480962194,-0.6293743748965233,0.005115882145526178,0.9640864729881287,0.781482678841559,0.6048431511003399,internal,0.0
5,1,4,-0.08540435022622334,0.9774781558286211,-0.19298329420007926,0.005693443020558685,0.9640864729881287,0.8082045477067062,0.6189173841142434,internal,0.0
6,1,-1,1.0,-0.0,-0.0,0.0037102750404803832,1.0,0.7868046007337298,0.6159057198407659,example1,0.0
7,1,988,-0.19939928574343085,-0.4566498463256369,0.8670125966188621,0.004980947835906835,0.9640864729881287,0.7882813513497057,0.6392790534041738,internal,0.0
8,2,222,0.30163811670925694,0.4993448111106785,0.8122002254154658,0.006556082120235476,0.9640864729881287,0.862764866555525,0.5358141229421934,internal,0.0
9,2,2246,-0.6445940821349782,-0.7476318575581977,0.15982826671350578,0.00824319401618711,0.9640864729881287,0.8216640004823398,0.5179370529232715,internal,0.0
10,2,-1,1.0,-0.0,0.0,0.006397214057520795,1.0,0.8247254512503882,0.5027171504645888,example1,0.0
11,2,709,-0.3892861692683872,0.3673965462049859,-0.8446751187604572,0.007863788858177082,0.9640864729881287,0.8546125968528347,0.4976800890415259,internal,0.0
12,3,91,0.4836838277983661,-0.648354466246572,-0.5879510530855804,0.006837185887497833,0.9640864729881287,0.7364395592507216,0.8416898937850666,internal,0.0
13,3,270,-0.2799025189337024,0.6788426105860504,-0.6788426105860504,0.006763622443817549,0.9281729459762573,0.7686313179983753,0.8363859054610354,internal,0.0
14,3,4501,0.4917774922760725,0.6450047810054091,0.5849134385281479,0.006872693253230439,0.9640864729881287,0.764849993973622,0.870100328507967,internal,0.0
15,3,1026,-0.5939377603296044,-0.5688751782485563,0.5688751782485563,0.008071076560090993,0.9281729459762573,0.7437571829599573,0.8638154958351701,internal,0.0
16,4,799,-0.4942554894135421,0.37711720016773836,-0.7832586600365335,0.0072395891154342865,0.9640864729881287,0.8364930621883021,0.6013749837842229,internal,0.0
17,4,1013,-0.3218016358191416,0.49898257494881987,0.8046490521224579,0.005681646511933634,0.9640864729881287,0.8432917346964487,0.6358108860880568,internal,0.0
18,4,-1,1.0,0.0,0.0,0.0049203250013674475,1.0,0.8418149840804728,0.6124375525246489,example1,0.0
19,5,5190,0.9055875004588878,-0.42415949713831,-0.0,0.005765115213656683,0.7026699326699979,0.08167290687561034,0.836312549085692,internal,0.0
20,5,4635,0.0,1.0,0.0,0.003632187605148829,0.6933864951133728,0.12250936031341549,0.8585115075111389,internal,0.0
21,5,5183,-0.0,-0.4776002441371232,0.8785772628517997,0.005942353048434763,0.6742594979470975,0.08167290687561034,0.8647229838085924,internal,0.0
22,5,546,-0.6900607231738521,0.21824847460076435,-0.6900607231738521,0.007565734580835639,0.6742594979470975,0.08167290687561034,0.836312549085692,internal,0.0
23,6,977,0.7071069048114665,0.0,0.7071066575616068,0.005136680889766812,0.2388197680314382,0.8611801664034525,0.8585115075111389,internal,0.0
24,6,784,0.0,1.0,0.0,0.007264367590027014,0.2388197680314382,0.8895905613899231,0.801690677801768,internal,0.0
25,6,3085,-1.0,-0.0,-0.0,0.007264359969759937,0.2104093432426453,0.8611801664034525,0.8301011125246683,internal,0.0
26,6,57,0.40824774325617896,-0.8164969140105164,-0.4082481715054466,0.008896993320336603,0.2388197680314382,0.8611801664034525,0.801690677801768,internal,0.0
27,7,-1,-0.0,0.0,1.0,0.004518832145486904,0.9728870071270785,0.9358499700900417,1.0,example1,0.0
28,7,-1,1.0,0.0,0.0,0.004518832145486892,1.0,0.9358499700900417,0.9728870071270787,example1,0.0
29,7,883,-0.5773502691896257,0.5773502691896257,-0.5773502691896257,0.005729649569601895,0.9728870071270785,0.9457740142541574,0.9728870071270787,internal,0.0
30,7,401,-0.32505758367186904,-0.8880738339771135,-0.3250575836718723,0.00372493208876271,0.9728870071270785,0.9087369772171202,0.9728870071270787,internal,0.0
31,8,1660,0.7123493905539998,0.6092588668246143,-0.34837046225667817,0.008745322400080356,0.27285326069711907,0.04083645343780517,0.5308462645855125,internal,0.0
32,8,5267,-0.7688413340880822,-0.04884284961393215,-0.6375714697500577,0.007168911151692944,0.2314017057187632,0.04083645343780517,0.5269392441138677,internal,0.0
33,8,3381,-0.09296114938178152,0.1364775447192138,0.9862718207943655,0.00772333251948431,0.24798064030958702,0.04083645343780517,0.5608399194906061,internal,0.0
