batch,case,cells,directions,grid,reference_case,reference_cells,reference_directions,reference_map,reference_max_distance,reference_mean_distance,rep,rsi_batch_cap_requested,rsi_batch_capacity_actual,rsi_cache_gib_s,rsi_cache_hits,rsi_cache_misses,rsi_cache_read_bytes,rsi_cache_s,rsi_cache_wall_s,rsi_direction_h2d_bytes,rsi_h2d_bytes,rsi_h2d_gib_s,rsi_h2d_s,rsi_iterations,rsi_mcell_sweeps_per_s,rsi_parallel_efficiency_mcell_sweeps_s,rsi_plan_s,rsi_samples_per_s,rsi_sweep_blocks,rsi_sweep_launches,rsi_sweep_logical_threads,rsi_sweep_s,rsi_sweep_samples_per_s,rsi_sweep_threads_per_block,rsi_tail_max_abs_vs_reference,rsi_tail_rel_l2_vs_reference,rsi_total_s,rsi_vs_si_parallel_efficiency_gain,rsi_vs_si_speedup,samples,si_cache_gib_s,si_cache_read_bytes,si_cache_s,si_h2d_bytes,si_h2d_gib_s,si_h2d_s,si_iterations,si_mcell_sweeps_per_s,si_parallel_efficiency_mcell_sweeps_s,si_plan_s,si_rel_l2_vs_reference,si_sweep_blocks,si_sweep_launches,si_sweep_logical_threads,si_sweep_s,si_sweep_threads_per_block,si_total_s,sn
128,100k_s100_r1024_b128_rep1,94378.0,10200,100k,100k_s316_r8192_b128_rep1,94378.0,100488,same_mesh_cell_order,0.0,0.0,1,128.0,128.0,1.9016597058900127,21221.0,0.0,8041724468.0,59.2386,3.93837,98304.0,8040472429.0,2.938156375661061,2.54863,24.0,1206.0659795958693,1206.0659795958693,8.95757,89.67667355589029,49570560.0,77454.0,12690063360.0,1.92314,532.4625352288444,256.0,0.013928999999999997,0.02230817452835355,11.4188,0.7454681319057779,1.1615931621536415,1024,1.538924157615654,3865063136.0,2.33905,3864704216.0,2.6825912117076696,1.34172,14.0,1617.8639005165521,1617.8639005165521,4.57079,0.011126562524094248,142800.0,1120.0,36556800.0,8.33023,256.0,13.264,100
256,100k_s100_r1024_b256_rep1,94378.0,10200,100k,100k_s316_r8192_b128_rep1,94378.0,100488,same_mesh_cell_order,0.0,0.0,1,256.0,256.0,1.891890806582872,18492.0,0.0,7007565952.0,51.7579,3.44962,98304.0,7006474924.0,3.08782681733577,2.11323,24.0,1322.850828124287,1322.850828124287,6.91328,111.84778215896803,50497280.0,39451.0,12927303680.0,1.75336,584.0215357941324,256.0,0.013928999999999997,0.02230817452835355,9.1553,0.7173855527519216,1.4280580647275347,1024,1.064161057317291,3865063136.0,3.38259,3864704216.0,2.8304063858549244,1.27165,14.0,1843.9886655784674,1843.9886655784674,5.42692,0.011126562524094248,142800.0,1120.0,36556800.0,7.30871,256.0,13.0743,100
64,100k_s100_r1024_b64_rep1,94378.0,10200,100k,100k_s316_r8192_b128_rep1,94378.0,100488,same_mesh_cell_order,0.0,0.0,1,64.0,64.0,2.1288956387501257,22856.0,0.0,8661306996.0,56.7613,3.78904,98304.0,8659958492.0,2.939089704106459,2.74412,24.0,823.063369351147,823.063369351147,8.10198,88.6725954918991,47887808.0,151538.0,12259278848.0,2.81805,363.371835134224,256.0,0.013928999999999997,0.02230817452835355,11.5481,0.5337400941320798,1.2956417072938404,1024,1.0096970732166157,3865063136.0,3.56505,3864704216.0,2.7159710243296744,1.32523,14.0,1542.0677187265437,1542.0677187265437,5.8913,0.011126562524094248,142800.0,1120.0,36556800.0,8.73968,256.0,14.9622,100
128,100k_s100_r4096_b128_rep1,94378.0,10200,100k,100k_s316_r8192_b128_rep1,94378.0,100488,same_mesh_cell_order,0.0,0.0,1,128.0,128.0,3.037719216128817,85033.0,0.0,32223408284.0,148.972,9.87925,393216.0,32218391337.0,3.0416921532136825,9.86481,24.0,1150.2217831798503,1150.2217831798503,23.987,119.30039174567113,198611840.0,310331.0,50844631040.0,8.06604,507.808044591894,256.0,0.015473999999999988,0.01840527319202301,34.3335,0.6330941039700465,0.3629108596560211,4096,1.332570930184764,3865063136.0,2.70126,3864704216.0,2.851168244815322,1.26239,14.0,1816.8259283524626,1816.8259283524626,4.75588,0.011126562524094248,142800.0,1120.0,36556800.0,7.41798,256.0,12.46,100
256,100k_s100_r4096_b256_rep1,94378.0,10200,100k,100k_s316_r8192_b128_rep1,94378.0,100488,same_mesh_cell_order,0.0,0.0,1,256.0,256.0,2.8258982161899135,74055.0,0.0,28063283680.0,140.898,9.24873,393216.0,28058914435.0,3.043728480554938,8.58549,24.0,1334.4804197735432,1334.4804197735432,21.2592,135.41346398616773,202164480.0,157941.0,51754106880.0,6.95232,589.1558501334806,256.0,0.015473999999999988,0.01840527319202301,30.2481,0.7318741514832943,0.44927780587871635,4096,0.9635577635798058,3865063136.0,3.73576,3864704216.0,2.7620952195322035,1.3031,14.0,1823.374164901087,1823.374164901087,5.91173,0.011126562524094248,142800.0,1120.0,36556800.0,7.39134,256.0,13.5898,100
64,100k_s100_r4096_b64_rep1,94378.0,10200,100k,100k_s316_r8192_b128_rep1,94378.0,100488,same_mesh_cell_order,0.0,0.0,1,64.0,64.0,3.2374720058932693,91412.0,0.0,34640736508.0,150.474,9.96509,393216.0,34635343200.0,3.0632539744463263,10.5302,24.0,831.6736060239343,831.6736060239343,21.2707,117.57546530720035,192578560.0,607490.0,49300111360.0,11.1555,367.1731432925463,256.0,0.015473999999999988,0.01840527319202301,34.8372,0.4525004792074151,0.3822207295649478,4096,0.99453241021904,3865063136.0,3.61941,3864704216.0,2.82133215276813,1.27574,14.0,1837.95077406474,1837.95077406474,5.70475,0.011126562524094248,142800.0,1120.0,36556800.0,7.33272,256.0,13.3155,100
128,100k_s100_r512_b128_rep1,94378.0,10200,100k,100k_s316_r8192_b128_rep1,94378.0,100488,same_mesh_cell_order,0.0,0.0,1,128.0,128.0,1.8743031090529203,10601.0,0.0,4017266960.0,29.966,1.99614,49152.0,4016641501.0,3.0758260666661457,1.21619,24.0,1216.0274469876576,1216.0274469876576,3.79815,100.98758759982879,24745600.0,38665.0,6334873600.0,0.953693,536.8603942778232,256.0,0.029963000000000017,0.044728463701827655,5.06993,0.676330408706563,2.2956332730432174,512,2.040763184646681,3865063136.0,1.76386,3864704216.0,2.773268313420206,1.29785,14.0,1797.9783717151345,1797.9783717151345,3.82559,0.011126562524094248,142800.0,1120.0,36556800.0,7.49574,256.0,11.6387,100
256,100k_s100_r512_b256_rep1,94378.0,10200,100k,100k_s316_r8192_b128_rep1,94378.0,100488,same_mesh_cell_order,0.0,0.0,1,256.0,256.0,1.1230799136478893,9241.0,0.0,3501891252.0,43.0971,2.90397,49152.0,3501346033.0,3.0667857330297963,1.06329,24.0,1238.6445322387879,1238.6445322387879,6.22673,69.11503062929775,25209600.0,19695.0,6453657600.0,0.936279,546.8455449711037,256.0,0.029963000000000017,0.044728463701827655,7.40794,0.671067714221254,1.718345450962076,512,1.1944943109101662,3865063136.0,3.01351,3864704216.0,2.8389568555255593,1.26782,14.0,1845.7817385480735,1845.7817385480735,5.0991,0.011126562524094248,142800.0,1120.0,36556800.0,7.30161,256.0,12.7294,100
64,100k_s100_r512_b64_rep1,94378.0,10200,100k,100k_s316_r8192_b128_rep1,94378.0,100488,same_mesh_cell_order,0.0,0.0,1,64.0,64.0,2.0831177948337825,11437.0,0.0,4334068344.0,28.4309,1.93768,49152.0,4333393561.0,3.0530662753447038,1.32188,24.0,898.684859662446,898.684859662446,3.765,93.70167363633868,23584128.0,75589.0,6037536768.0,1.29046,396.7577453001256,256.0,0.029963000000000017,0.044728463701827655,5.46415,0.4892729828474948,2.0914323362279585,512,2.000433779146,3865063136.0,1.79942,3864704216.0,2.8289381365959665,1.27231,14.0,1836.775974083498,1836.775974083498,3.82617,0.011126562524094248,142800.0,1120.0,36556800.0,7.33741,256.0,11.4279,100
128,100k_s100_r64_b128_rep1,94378.0,10200,100k,100k_s316_r8192_b128_rep1,94378.0,100488,same_mesh_cell_order,0.0,0.0,1,128.0,64.0,0.9304501972922439,1426.0,0.0,540383344.0,7.89164,0.54089,6144.0,540299210.0,3.048452738738734,0.165065,24.0,793.5960759410515,793.5960759410515,1.07376,49.60394351350933,3057280.0,9554.0,782663680.0,0.182668,350.36240611382397,256.0,0.053508,0.0843635333253634,1.29022,0.4425607149159617,9.325696392863232,64,1.7726532279827518,3865063136.0,2.03064,3864704216.0,2.698115652603009,1.334,14.0,1793.1914180221536,1793.1914180221536,4.21895,0.011126562524094248,142800.0,1120.0,36556800.0,7.51575,256.0,12.0322,100
